,time,src,dst,seq,ack,len,payload,role
13,0.8322370052337646,124.132.136.201,192.168.67.64,-912,29,1382,"b'\x96\xbf\xe1\xee?\xce\x94\x84\xce\xbdP,\xd4\x13Vo\x1d\xc3\xd5g\x85-\xca\xe5\x8a\x87\x83\rW\xad\x1a\xb8\x9a\x080\xb8\xb5\'\xfcwu\x0f\xcc\xaahi\t\xc7\xa1\xa8\xba\xa9-\xca\'\x0f\xa0\xf0\x83\x0bn\x82\xc0#\r\xb8\x19Y\xaec\xb9xn!l\xa9v;.\xbd\\m\xb6\xfd\xdf,\xb5\xda\xad\x9e\xd0\x9f\xc1\xac\xa0\xe1\xa5\x9c\xe6\xe1\xea2E\x80s\xc1\xf3\xb4?[C\x15=,q=\x158\x1a\t\xc2\xf9`vS\x83\xc8d\xdf\xf3b\xc0\xc9H\xa2`\x8b\x06\xb3\xa9A\x1e\rYy\x08U\xdfJ\xf8%\xc8`\xd6\x03\xecA\xe73\x17\xe8jJO\xc0\xe6\xe7\xe4^\x00\xfcr3v\xa3\xf2\xfb\x803\xd7\x87?>\x11\x8a\xb2d\x1a\x86l\x1e=\x9a\xc4\xd0\xf4[]\xd6\xd6\x81yT\xecU\x86{7Q\xd5=u\x90\xc3Wf\xf8\x83\xff\x04\xb7\xa6\x91~e\xac\xdd\t\xcd\xd3S:\x1f\x8c\xcc\xf4Oemk(v\xcc\x96\x85\xad\xf5\xf0v\x85\xb5bu\tcH;\xe3wV\x06\x92\x9e\xe9\x95\xe5#\x1a\x01\xe9\xd6d:tJa\xe7\xa4`r\xa1\xda\xddf~\xdd\xe8\xaef]\xf9\xbb\xaf\xf1\x07V\xa6k\x9cI\xca\x0c\x88\x1e\x8b\xac\xe1\xe3\xc93Qa_\xf0\x1f\xbd\xec\xa4\x98x\x19m\xbe\x85\xb4Z\xcaT\xb4)\x8ee<ubM\xe1E\xb0\x10:\xfa\xb9\x17\x7f\xac""\x8a|3\x13\xe3p\xcfLL\xfb8/\x1f-;o0dw\x1e\xb6(V\x98\xc9\xcb\xaf\x9a\xdb\xd4\xa3H0\xc1\xf9\xb0\xa7B\x14\xa0\x7f\x94\xc0\xe4\x97\xcd|#^\x83wP\xb2\x8eS\xaa\xc4\xc4Y\xbat\x0c\x97\x14\xaa\x9fUw\x86\x04\x85\xd4\x1e\x92m\x01\x98\x86-\xa3\xfdj\xf6\xc6B\xa7s\x87\xdb\xc3\xd0\x15\xac\x96,\xa3K\xf0\x85_\xce/\xf5\x11G\x06\r\xf6\x07\xe6\xe0\xc2\x8b=\x16x\xdb\x89\x8d\x03 \x98\xe2SL\xa8\xde\x88\xb2\x81\xc4\r:\x94""h`v\xc6T;\xe6:Z\xe6\xcc\xa4\xf3\x94E\xa04M\x9c\xb3\xdfqS5/\x934\x18\xb5\x14i.\xb9\x88T\xb6\xef\x9f\xc1s\xc9s\x94\xa7\xbd?G\xa9n\xaby&|\xbc\xe0W\x9e#\x9c\xf0|4\xe6\x0b\x1f\x8c\xe4\xa3\xb0\xba\x1dW\x92W\xe2\xf0\xcf\xaf\x9d\xb0k\xc9-\xeeN\x04\x82\xb2o6\xe4""\xd9\xa4.Z>Oi\x089\x1e\xf2\xad\x7f\xcbz-g\x9f\x82\x92\xed-\xc7\xe0\xb7)4\x86\xc7\x0c\xd9\xaa,\xe8.\xd4\xa98\x15/\xb2\x06\xc6\xf8;\x08\xcf\r\x86\xb4\xf9\xca\xf4\x066\xfa\xd6f+\x10\x9ff\x97\n\xdb\xe4\xa9SHj| \xbe\xfb\x85\x9d8\x81{}T\x19c\xf2`\xd8\x08\xc2\xe1\xf7\xc0{\xe4\xd6\xe9\x82\xf9\xac\xeeQPAe\x02\xa8Q\xb2\xbc\xeb\xfb\x86\xb8\xfan\xcf\xfa&\x12\xcd\x01\x95{\xc0\xf2\xc2I\x12\xd8\xcc_\xb2a\xae\xab\xe2v\xc4\x8eR\xdb\x0cq\xa8\x82\x8d\xd5\xc6\xf6G\x07\xaa\x8d\x83\xc4\xed\x0f\xfc\xf6\x94gy\xa0\x87\xf941\x7f\x97T/)\xe0j\xbc\xf9\x1cj\x81\xa3\xeaa\xb8\xb02\x87L\x8e\xf36\x9e\'\x1b\xd3\xc5\t\xb9\xf4\xcb\xde)\xb2($\xf3 \xd0\xe0\xd2\xa8\xef\xd2i\xc2TG\xcdZ\x8b&\xf7\xb3*\n\x9d\x0e\x06\x8b\xe6;V7\xfe\xef?\xc1\xb4\xb8\xce^\x10\xa0\xf4Z\xa4\xfb\xcb\xc2Gf%\xc6\xb7\xf9\x8d\xd3R\xf1\x04\x97\x86d\xbe/K""\x96\xdck\'\xd6H\x93\x11\xe1\xfe1\xde%\x97<\x075\xc19\x92ZQ\xf3$e\x95V\x91z\xe7{\x1e\xca\x0bNQ+\x9c]\xc11\xf2)?\xa59\xc7Hj$*\xc8\xeb1|\x0e:GRB\xa9e\xfc\x1b\x9fY\xf2\x89\x01\xe9[\xe27x\x05\xeewq\xa6\xc5\xfb\xaf\xa2l!\xe8\xb6\x81m0\xed\xc0\xda\xde\xeb\x08\xfco\xff\x10\xc8\xc5!\xb7\xd5Ux~\xca\xcct^\xd0\xffy\xf6$B$\x9b\xb0\x17\xb7d\x7f\x93\'\xbf\x10T\x9c\x90\xfc\x1aL\xdctp\xd0\xbc+\xd7fCd!<\xce\xc9;\xc0\xe8/\x1f\xac\x83\xe9R\xfd\xd1\xa0B\x10,7\xf5E\xd6\xab\xcd\x7f1h\x85\xcdfl\xf4\r\r\x1fB\xeeP\xfa\xdf\x84}\xcc\xd8\x97\x03:\xa8\x14\x85\xeb\xec\xde\xb1\xad\x1a\x06f#\xb0t7\xca\xbf\xce\xa1\xc9%\x95\x95\xea\xe5Jo\x94\xc6\xab5\n\xe2Ru\xd7\xad\x07\x98\xa6l\xd3\xb5\x1f~\x0f\x81\x0e\x9d\xb0\x17#\xd0X74\x85Z\x97\xc31l\xe0""\xf1\xbf\xad\x99\xd9\xf6\xacz\xe7\xb3\xb9.\x80\x90\xf2\xbe1\x8ew6D\xab\x8a\xd3jv.\xadC\xaa\xd7\xf6\xe3D\xf9\x1c""\'\xd6I\x9e\n~\xb5\xd7\x8bN\xf6\x0e\xc4(\xc8\xf7\xe8/\x8dCW\x1eY\xfak\x87K\x0c\xfe\x00\x14Q\x0c\x13*\xfa""\xeec!\xba!\x94\x16\xdf\x8e\xb1\x08\xb4\x87\x8f\x17U\x1dJ\x8e\x8e\xdc\x8fz\xd2\xafR\xae\x9e\xe1\xb6\xbf$u\xaf\xf8\r\x92}Xa\xf8\xe7\r\x98C\r\xdd\x82\xd3\x19\x15\xf2H\xe5\x91\xaf\xa8\xc2\x88V%B\xa5X\xf0\xa6\xe3\x8d\x99\xb3\x91\x02f\xfe\xaa\xf1\xd2\x92 mBr/\xd0\x0e\xff\xd1\xf69<\xbfA:\xe6\x08\xf2V\x1b\xf6/\xd4o4\xc5y\x93?/\xf7\\\xfc\xab\xb6\xe38\x81\x143\xec\x9b\xac\xb4\xa9b\x04\x95\xe1\xf5X\xe0\t*#&\xbc\x128\xad\x1b\x88\x92\xf0\xd7s)p\x18\x89F,\x1dk+_x\xad\xdf\xff\x83\xf3\xbf\xd4\x9e\xf4\xeb\xa5\xeb\xacq\xad$\x7fB\xbd\x9fS\x1dV\xb3[\xf5\xcf\xb0B6\xe1\xcfjD\x8f\xb3\xfc.\xda\x96\xc7\xe4\xc1\x01S7\x0e\xc1\x9a\xaf\xf9\xf7\xa3e\xc6\xa3w'",0
14,0.8322849273681641,192.168.67.64,124.132.136.201,29,470,0,,1
15,0.8766651153564453,124.132.136.201,192.168.67.64,470,29,1371,"b'\xd5\x0b8\x85\xb6#\x19\xe7\xf2\xb6\xa3\xb3R}WK\r\x00Ed\xad\xd3\x9cG\xcf\x02\xcb\xb2:*)\x82\xa6L\xa3W\xea\x1f\xcf\xfa\x1c\x81\x8f5P\x05\x03\xdb\x17D\xde\x97\xe9\xf5\x0c\nU\xe4\x05\x07\x19\x8ay}U\x8a\xbd\xedQ9F\x8d\xf1\x90\xf0:m\x8c\x87\xff\x9e\xb1\x1b\x895W\xe0BD\xecQ\xe5\x97\xd7\xeb\xc3q\x83}\x9a\xd4\x8e\x1b\xbe\x1a0\x14\xa6\xe0n\xf1\xc4\xdf\x0fM{\xde\x18\xebl\xe7~\xb9\xaciT\x1c\xe8\xe5\xa0g\x01`l%V|\xc3\xe3\x82[Ew \xe1\xc3%\xb0\xf9z\xac\xe8\'[\xb8\x12\xbc*h\x8f27\x10\xf7\xd1HX\\|+\'}\x18\x19\xa2O\x04\x0f\x8a\x8e1T\x9b\xc9l\x0f\xe6k\xcb\xcc\xe7\xc6\x15F\xbe\x10\xb8\xfb\x16\x11\xe1\xa9l\xf7\x85\x14\xf8?\xc1sL3\xaf\xd4\x8c\xcb\x9c\xdf\x94\'\x01\'/\x80zN\x02\x93\x99\xfc\xac\xdf\xa1\xa063\xdb\xaa\x923?\x85\xddy\xb0\x13\x0e\xdbT\xc8\x1dm\x9a.\xc7j\xb0\xfd5\xf66\xc8\x97\xaec\x14\xd8\x81\xf4\xa0\xfc\xe4\x1e\x00{H\xd2\xc1\x9d\xa2jDS|^\xab\xfa\x1b\x9bV\xbf\xa33\xdf$R\xee\xf0\xfbR\xf4%9u\x19\xc0%\xdd\x86\x02\xf1\x90R\x83\x16\x8fx\\~\xfaUd\xdb\x06hD\x9e\xd1/\xd4\x97\xe2\xb1\xd2\xb7\xf7\x92\xe1H\xa2\xd0\xb6\xa7\x13\n\x1d\xaa}r+\x1d\xc9\x88H0\x96\x10\x11\xab\x88x\xcaO3\x19\x82\x8c\xd9w-\x14\x00D#\x1f3\xb4~\xc6\x85\xac\x90\xf6\x02\xab~\x18\x0c1\x18X\xd8\xe3\x1f\x95Hv\xd2n\x9d{\xf8\xa2\x1c\xa1\xe3V\x8b#?\xb88\xc6\x8d\xc4c\xda\xd7,\xc3\xcf\x1a5\xbc\x04A-\x7ff\x9f\x90\xda1~\xf1\x95\x1dY\xa2I=\xdd\x86\x80U\xe2\xf9B\xc5\xfc{\xda=[}\xcf\xe3\x0crY\xc6\xf2\x0f\xa7\x89\xd2\x08\xe80q\xdb\xa2N\x81a\xc0\x8a=\x91H\xdbHC\xfc\xd6\x055lh+\xe0\xa6\x84n\x08\xc1tQ\xd9*\xd2J\xd0D\x86|\xe4\xbcm\xb1\x98\x1apa\x0e\xf5b]%uY\xd4u_\x8f\xbe5\x14%\xea\x96\xd5\xf3\xf6^\x1f\xc0\nN\xf9X\x9c\x10\xb8\xe8)\xd5\xef\x92~\xff\xa0A\x86\xdd\xa8\xff\xc9\xebI\x8a\xaf\xb4\xde\xdd.We\t\xd57YhX\r\x80\x99w \xd9\xccN<\xde\x0eH\xaa\xf1\xe0\x92\x1b7/G1\xbd\x96\xd6~\xd5$\xfc3\xbb\xa9\xcf1\x12\x98XNa\x9e\xd5i\x7f""ze\x9c\x7fL\x11\xa0\r+\rQ\xaf\x00\x1f L\xbf~\x038s\xa9\xbc8\xc8@P\xc2\xae6\xe0\x93\xda7 \x06}\x12\x82\xdf\xd2\xb9\xb1T\xd0\x1d\x19\xd3\xf8jOg2\xbe\xd4dX\xf1Yl\xcc\xfe\xcb\xe6\x1b\xf1\xc6Q\xbd\xaf+\xac\x9bIw\x03\x97\xad\xcc\xcd\xbf0\xffn\xdb_\xcc\xd1M\xaf\xb7\x07f$\xc5Z~C\xdd\x9d\xe6\x18\x06D\xf2\xed]\x98\xb5\x9a\xd8\xf5\xb6#\x8e\x03\xa7\xb2)\x99\xbf^\xf6\x0fg\xf4\x1e\xad\xf41\xf0\xca.\xe6\x1c\x93\xb8\x17\xfb\xf5d}9\xc4\x1f\x10\xda\x03\xf6\x83\r\x95\x06\xd7\xb3E\x13\x9a|G\xf0\x99\xe2\x1b\x8c\xca\xc3\xfb\r\xe2\xa8\xfcr\'[e\xd7\x83\xbf\xf1\x9f`[\x188\x1bW\x01\xe3#\x80\x9c\xea\xffbY\x18\x18\xbe\xfex\xea\xdcS\x00\xed\xf0\xa5tu\x8a\x8b\xd5J\xbe@\xbe\xb3J*C\x00\x88\xce\x16\xb6SC\x80]\xcd\xa6\xbd\xe9;\xd9\xac\x8a\x93\xfa\xf6\x0eK\\\xdd\xdb\x84\xd2D\xe6\xed\xa2\xb4n\xcfY\xef`\x85\xb8o\x07\'\t^\xbb\xac\xc04\xe7\x97\tR\xe1\x11\x11k9\x81GS\xbd\xccC\x14e\x1c\xab\x0e\xaa\xfa!\xb1\xfe\x83\x11\x949\x89\xce\xc54>\x07@Y\xacmL\x17\x97\xa7Ew\xd7\xf0\x07\xec\x0b\xb0F/\xf0\xad{b\xfd\x9b6\x8d\xcf\xc9\x19\xe0\xe2\xe2\xd8{\xde\xaa\x1b\xd5\xd0\xad[v\xb4-\x8c\xbd\xb0}^M\xa5\xfb\xb4\x9a\x85\x96\x18\x1f\xf5Q\x8d\xb3\xf9\xd2\xa7\x03\x9dJ\x9f\xac \xe2\xb3Q\xe5X\x1f\xdb(\x04n-\x0cf&\x05\x9fD3#\xf9\x85\x0f\x00\x1a\x0eloG\xf4\xe0\x98\xbc)\x94X_\xc3\xb2\xd73\x99\x90\xf7I\x9f\x12\xb2\xa2~\xa2\xcb[FA\xc4\x9e[=\xec\xdb\xfe\x9bM5l\xcf\xef\xf3\xff\x18\x82\x88\xd1\xfcr\xe3\xb6\xf7\x0e\x99\x9dY!\\\x8d-\x7f\xfb\xc4\xa1\xfdr\xfc\xcb+TM\xd0X\xc88}\xec\xd5b\nn*;\x9cwX\xfb\x83\x07\xf9\xca\xdd~\xe6V0\xafV\xc0\xb6\xc372^\xb8\x1c\xab\x99\xa8\xac\xe4S\xf7\x86~\xba\x7f\xae0CT\xf9\xeb\xc8\x1f\xd9t\xbb\rw\xcf\x9e\xf9+\x0e\x12\xb5\x0f\xdd\x011U\x17qq\xe4s\xda\xc2\xb5\xd6!zg\xc0\x84\xb8\xe6\x92)l\xd9~\xc8O\x99W_\xadAL)\xfe5\xdc\xf4\xec\x19\x9aqc\xcci\xaa\xbe\x11\xdf\xb1\x1f\xb60\xcb%\xc0\xa2c\xf6\xb84\xdc\x13\xfe\x04z!,\x8at\t\xbe\xaa\x97r\xec+\x9c%[R1\x1b\x9e\x83\xb4\x89\xa7^\r\x1b\xf2\x10\x04d\xa2WHn-\x8e\x9dd\x96\x87\x08\xec\x9f\xfd\xee6\xbb\xb5;\xec~4\xbf5\x9e}\xa1\xe7\xa2\xa8\xfb\xcb\xa9\xd5]\x14\xbe\xddiG\'D(\x0cDM\x85\xbd\xe7\x13\xc8""q}q\xac\xe1\xc1\xc6\xe7\xa1\xa5\x91N\x88d\x80\xac\xea\xbe\x18\xde\x90\x04\xb4=\xe0T\xd3\xd5\x14fd|\x0e\xb0\xd5\xff/\xdf\xcd&?z\xe9\xb6+\xe2Z\x96\xf8\x02\x8d\xca\x1c\x93\x11\x16\xabm\x84V?\xbc\xcb6\xe6\\\xb17'",0
16,0.876702070236206,192.168.67.64,124.132.136.201,29,1841,0,,1
17,1.0501010417938232,124.132.136.201,192.168.67.64,2079,29,303,"b'\x96\xa2\xce,\x15\x0e\xad\xf9G\x8c\xbe\xc4\xddC\xce#_\xafM3\xc5\x8b\xddO\xed4\x96,\x08D\xa7\xaft\x1d\xa1\x9b>\x9f*\xa0x@\xe1 \xb2\x0bZ\xa8\xd4\x14\xe4\xcd\x00\x0c~\xa2\x1c\xa6\xca\xc8\x1d\\\x81T\x808;\xf5\xa8*S\xba,q\xc2&\xca\xe3GV\xea\xb1\xa4\xa3 \x9e\xdeE\x08M\xe19\xdc\xe2-+A\xcb\t\xa1t[\xc8D\xac\x97\x90P\xb9\xae\xf1\xd7s.\x8a\xf6\x9a\x95DO\xb6\xae\xa0y\x13\x92\x11\x10}\xa8\xcfSF7\x17\xd9\xa5\xff\x1a\x7f\x14\xfa\xe7\xf5\xe4\x88I\x0b5\xc53g\xb6\xa5\xd5;,|[\x1b\xd0\x02\x87\xdd\x8f&>\x95\xc3\xf8<\x84\xdf7\x9cC\xac\xbcW\xcd\xb5\xfa\xe9\xf5\x17B\x00gP\xac\xeb\xb3\xddb\xae\xc7\x93\xb8\xfc~\xfa\x19hHI\xcd\xc8TE\x00\x1a\x86m\x12\x97\xabw\xf5\x89\x7fw\xc9\xbe\xbd\x13\x82\xd3\x7f\xf3(\xce|\xbb\xec\x01\xf1WR\xeaN\xc5\xdb\x15sX\xb1z\xf7\xb5F\x00\xab]\xe0O\xb4:\xfb\x13\xe8\xd26\xb8C^\xb8\xf9\x1c\x9e\x95@\xacd\x0b\xbd\xe0r\xf3\xb3C\xf1/\x9b\x02\xb3\xbf\xd2\xb7\xeb\x03\xe2\xfa\xa4\x98r\x13\x06\xb0b\x99<ld'",0
18,1.050137996673584,192.168.67.64,124.132.136.201,29,1841,0,,1
19,1.075822114944458,192.168.67.64,124.132.136.201,29,1841,28,b'\xc3\xcb\x89\x84\xf2\x85\xa50\x9ak\x84\xb3\xbb\x1e\ng\r\xa7\xb6\x80\x96\t\x9e\x0e\xea\x1d\x96\x81',1
20,1.0973029136657715,124.132.136.201,192.168.67.64,2382,29,19,b'\xfcM\x9f\x19\xcd0@\xe5\xae@\x90[\x8c\xef\x99\x92\xb9\xd2T',0
21,1.0973351001739502,192.168.67.64,124.132.136.201,57,1841,0,,1
22,1.100649118423462,124.132.136.201,192.168.67.64,2401,29,42,b'\x12P\xa1\xe9\xd8+\xd7\x14\x99z\xa6\xe9iEC\xceQ\x0b g\xa0\xe3^\xe1\x95\x14\xaa\x1d\x12\xe6\xa2\t\x0c%\xec\xf6\xa5;\xc9\xd6{V',0
