,time,src,dst,seq,ack,len,payload,role
331,6.442651987075806,124.132.136.201,192.168.67.64,16815,169,711,"b't\xb9\xe7\x98""}\x9f\x1f\xb8\xea\x19]\x18\xd9\x8e\x01\x89\xd59\xe3K\xbd\xa6|8cr\xefA\xb8\xeb\rEY\xbeF\xfb""w\xac\xe7I\x80qW\x07\x06)O(\xfe\x9e\xf7\x9anM\xf6I\x89+\x08\x07\x99\x9c*\x08\x97\xa7\x04\x8a5\xe8\xd4\x1f\x99AK4PW\xc5\xdcL\xfb\x1d\x19\x14;\x84b\x95W\xb8\\i>\x92\x8b\xb5\x81\x84Qu@\xe6\xacHrr6\x84\x14\x01\xd5\xf6e\xa3\xe1&\xf7_\xbf\x0b\x8f\xb5\xc2\x07\xa5\xef\xee\xed\xa5\xc2\xd5\xf9\xaen;\x05\xd0\xc3K\x83EL\xebb\x8b\x87=\xb9U\x1c\x14\x98\xd9g}\x87+c&\xc2\x91\x0eB\xc9\xa0l\xee\xb4\x91F\xd8`p\x17\xb2\xbdhbo\x0c*Eq&\xc9v\x9a\xe45\xe3\xcc\xe1s\x97\x83\xf0\x10\x97\x9c\xad\x11>\xab\xfd\xbd\x00<\xe8\x9cOl\x843s\xccF\xba\xa3\x86Jn\xf0\x94\x190;\xc8\x89\xe2\xf3h\xc2\x89c\xea\xbc\xda\xb9\x9b\x8d\xf3\xbb\xf2D_\xd2\xeb\x8b\xd4\xeaT\xae\xf2\xc6r\xe4\x91\rWb]\xa6\x0b\xae\n\xd6\xfb\xebY\xb3\x96\x83\x18y\xf7\xafbg]S\xef\xcd\xf7\x03W\xeb\x18\xc1\xb7\xa0W\xff\x10\x05\xbbx\xd5(y\x97\x95-\xa7<\r \xfd}\xe5\xc2\xf4\xf5\x04[\xd7\xb5\xcf0\'\xc8Xf\xdfg\x07\x87\x91\x19\xb5~q\\J9\x93\xb2\xe0c\x97cL\xfb7k\xbb+#b\x049\x00\xc0\xef\xabj\xb9J\xaah\xb27N\x86\xc9C\x1d\xd4\xda\xc7\x16\x0b2\x1e0bH4>`\x18i\x8dA\xdd\x85\xba\xf0K\xfb\xbdv\xe6<\\\xef\x8c\xb6\x93\xd9\xa6\xf0Te\xd1\xb5\x19~\xe8w\x00QgMrt\x08Z\xb8O^_3=\xceG#7\x94|<I8^U\x84\xd0\x8a\x82\xa5zo\x07\xa4S9\xc6c)\x08<\x04\xe3\n\x8be=\x93\xabO\x89]2;<\x84%\x8ey\xf0\x8d\x15W\'\xabz/\xdf{\xd1\xce\x120\xc2\xbf\xd7\xed\xdc\x83\xd3\x07[r\xd3\x03\xa3\x97\xe3\x0c\xe3\xb2F\x92h\xd75L\t<\x0e\xb9\xb8n\x82\n{|\\\xd0\x0e\xba?DT\x89\xdc\xdc\x1c/\x86\x90\x11\xb5\x8e\xaas\xf3P\x08\xaa\x96\x029\x9d\x02\xc6e\x821I\x8aCU\r\x92\xfe\x17\xe2\x85\xe5\xc3`\xf8\xf7\x95\xe8\x9c\x02\xfd1\xcaaH\xd1\x04\xe8nUZ\xaf\x12t\xea\xd1\xf9\x86\xf3\x10`\xff\xe09T\xa1\xb7\xbc\x06\xe2\xf0C\xd7\x84f\x1c\x03\xcb(7\x1c\x04)a13?\xe6\xfe\xf1\xf6\xe3\'M\xd9\x1e,\xad\x07\xa0i\x8an\x9f\x9e-c\xc4_E\x01\xc8\xba!Q\xa2\x8a:\x9c\xcfW\xbbF\xaf\xb4\x8c\x977r\xef\x18\xf2(p\xdd\xea>z\xb3k\xaeW\xcd8\x12r\'\x9b!\x01jL7xl\xb1\x95\xfd\x87\xf2\x01\xb0\x95\xd1\xe5\r\x86\x02]\x0c@\xb1\xca\x9an\xc1,\xf6\xf9b6'",0
332,6.442699909210205,192.168.67.64,124.132.136.201,169,17526,0,,1
333,6.44945502281189,124.132.136.201,192.168.67.64,17526,169,31,b'\xcev\x9c\xba\xf2\r\xcd\x83Y\x1d\xa7\xae\xc8\xb9\xf2E\xf6\xaf\xc7\xac \xab\x1a\xe4\x9d\x03X\x96k9\xb1',0
334,6.4912049770355225,192.168.67.64,124.132.136.201,169,17557,0,,1
335,6.4995598793029785,124.132.136.201,192.168.67.64,17557,169,113,"b'\x11\xaa\x81\xeb\x1b\xd9\xfa\x19G1Z\xd4c\xc6\xa6\t\xc6$\xf8\x97\x05lc\x08\x9e\x9a\x19m9\x90y\xfe\x87\x08I\xc1TM\xf9t\xe7\xc1\xff,\xfe\xba\xeb\xbfW\xa6\x9a\xaf<P\xf10lk-\xd5\xcd\xedH\xf7\xb4\x8d\xa6\x86\xf6w\xd4#\x98$\x10\x1f\x85\xc4\xcf\xc6\xe6\x9e\xe6\x12\xed\xc4\xf9ih\x8e\x93\xd51\xf8\xa3\xac\xd8E\x9cP\x91\xe8.\xae\x8cq\x0b\xe7\x86\x0c\x1f\\7'",0
336,6.522695064544678,192.168.67.64,124.132.136.201,169,17670,28,b':\xe2^\x95\x99\x1e\xe0\\\xbd\xb0\xe0\xe6G\xe1\xb6=\xf1jx\xb4\xae\xe2/\xda\x99!\x00\xc1',1
337,6.546365022659302,124.132.136.201,192.168.67.64,17670,169,19,"b'-.x""\x14\x1b\xb6\x19\x88\xa23O\x15\x11\x91\xc4p\xb8\xb9'",0
338,6.549574851989746,124.132.136.201,192.168.67.64,17689,169,215,"b'\xb0\x7fp\x1b\xb8\xf9\xd6\x83\xdd^@\x8cE\nify`8bW\xb0\x9c\x06\x11\xc1\x89\xfe3\x8f\xa8\x98\x86Yo\x96\xd9\xed\xfe\x9a\xe94\x15\xc0\x0c\xd0\x7f\xaa\xb2g\xc5\x1f\xcf]\t\xdb\x80\x93\xd1I\xa4\xa1\xd5`\xcf\x80\xc7\xfb\xb0\x8d\xf8\xc4\xf9\xa8\xa8F\xec\x9b\xc7H\xa7\x83\x12\xe1~\x82u\x8bJQ\xdet\xd0%=\xef\xaf\x0e7\x14|z\xb8\xbc\x9elh:\xb1\xd69\x13\x93\xa3(\xaejt\xa2\xd0\xc5\xb2\xec\x08\x84\xde\x03N\xd5\x98\xc6\xb0~(\xa2\x15%\x1d\xfeLwT\xf0%\xb9\x08,\xea\xe5\xfdb\x1e\x16Y\xe2\xeb\x9e\xf7B\xf3\xd0_z\x90\xabW\xd7\xa4\x8d\xedkh\x98|p\x93&\x08\x10\xd7\xfd\x1c\xe8<\xa2Qw\x18\xb9\xa9\x9e4T~?\xe4\xed^\xb0;\xbek-\xfc\x04\xc7\xa9ua\x02\xa7\xd7\xf6*>'",0
339,6.549574851989746,124.132.136.201,192.168.67.64,17904,169,105,b'F\x01\x11%\x80\x8e\xdf\xde\x9bt7L\x82\x17%}\xcc\xd1\x13f\xea\x91\x81-\xfd\xd3\x0c\xdd|\xc1\xe6\x00r){\x12v?Pc<~R\xa3.\xd5\x8b\x1c]\x1e\x836W\x85\xd8\x7f\xaf\xc5d\xeaBtq|\xcf\xe2\xc5V\x93R\x86\x06K\x88y\xe9[\x1fp\xce\x1a\xa0\xf4\x95\x16\x05p\xd2\xb2\xf9\xfe\x06\xa6H<\x9e\xcar\xcf\xde\x11\xee\x14\x7f\xa4',0
340,6.5495970249176025,192.168.67.64,124.132.136.201,197,18009,0,,1
