,time,estimated_rtt,sample_rtt
0,0.19634699821472168,0.0,93.31512451171875
1,1.1371099948883057,0.0,108.57915878295898
2,1.1894910335540771,0.0,86.41505241394043
3,2.195058822631836,0.0,91.8419361114502
4,3.2014079093933105,0.0,98.36506843566895
5,4.215080976486206,0.0,111.79614067077637
6,5.211773872375488,0.0,108.73103141784668
7,6.213941812515259,0.0,110.98980903625488
8,7.204991817474365,0.0,101.94993019104004
9,8.17514181137085,0.0,72.00980186462402
10,9.195339918136597,0.0,92.27204322814941
11,10.211374998092651,0.0,108.2451343536377
12,10.790992975234985,0.0,93.99700164794922
13,11.206255912780762,0.0,103.59907150268555
14,12.228583812713623,0.0,125.22387504577637
15,13.212867975234985,0.0,110.01896858215332
16,14.217161893844604,0.0,114.2280101776123
17,15.20621395111084,0.0,103.33991050720215
18,16.21255588531494,0.0,109.70091819763184
19,17.21430492401123,0.0,111.64307594299316
20,18.20722484588623,0.0,104.48980331420898
21,19.214252948760986,0.0,111.56392097473145
22,20.215152978897095,0.0,112.29801177978516
23,21.224792957305908,0.0,122.12896347045898
24,22.23082399368286,0.0,127.93612480163574
25,23.23663902282715,0.0,133.6231231689453
