,time,ingress,egress
0,0.1,579.0,1128.0
1,0.2,0.0,724.0
2,0.30000000000000004,359.0,1340.0
3,0.4,220.0,874.0
4,0.5,631.0,1114.0
5,0.6,354.0,844.0
6,0.7,437.0,488.0
7,0.7999999999999999,232.0,1304.0
8,0.8999999999999999,591.0,300.0
9,0.9999999999999999,264.0,2500.0
10,1.0999999999999999,296.0,108.0
11,1.2,611.0,1294.0
12,1.3,164.0,848.0
13,1.4000000000000001,823.0,1228.0
14,1.5000000000000002,164.0,708.0
15,1.6000000000000003,359.0,1200.0
16,1.7000000000000004,0.0,408.0
17,1.8000000000000005,891.0,1192.0
18,1.9000000000000006,232.0,1500.0
19,2.0000000000000004,122.0,108.0
20,2.1000000000000005,904.0,2384.0
21,2.2000000000000006,232.0,108.0
22,2.3000000000000007,639.0,600.0
23,2.400000000000001,463.0,1164.0
24,2.500000000000001,359.0,1500.0
25,2.600000000000001,232.0,844.0
26,2.700000000000001,842.0,600.0
27,2.800000000000001,232.0,788.0
28,2.9000000000000012,463.0,688.0
29,3.0000000000000013,533.0,1516.0
30,3.1000000000000014,464.0,786.0
31,3.2000000000000015,1110.0,1278.0
32,3.3000000000000016,78.0,704.0
33,3.4000000000000017,532.0,516.0
34,3.5000000000000018,98.0,1088.0
35,3.600000000000002,611.0,1432.0
36,3.700000000000002,0.0,600.0
37,3.800000000000002,232.0,728.0
38,3.900000000000002,501.0,1418.0
39,4.000000000000002,0.0,594.0
40,4.100000000000001,379.0,916.0
41,4.200000000000001,232.0,1274.0
42,4.300000000000001,1206.0,1534.0
43,4.4,232.0,1118.0
44,4.5,359.0,832.0
45,4.6,310.0,1408.0
46,4.699999999999999,997.0,708.0
47,4.799999999999999,0.0,644.0
48,4.899999999999999,0.0,864.0
49,4.999999999999998,591.0,916.0
50,5.099999999999998,118.0,5021.0
51,5.1999999999999975,591.0,978.0
52,5.299999999999997,0.0,788.0
53,5.399999999999997,591.0,502.0
54,5.4999999999999964,843.0,1388.0
55,5.599999999999996,591.0,1226.0
56,5.699999999999996,252.0,728.0
57,5.799999999999995,0.0,1086.0
58,5.899999999999995,359.0,830.0
59,5.999999999999995,310.0,1496.0
60,6.099999999999994,591.0,740.0
61,6.199999999999994,356.0,2114.0
62,6.299999999999994,359.0,1402.0
63,6.399999999999993,232.0,488.0
64,6.499999999999993,359.0,1008.0
65,6.5999999999999925,889.0,920.0
66,6.699999999999992,78.0,926.0
67,6.799999999999992,843.0,802.0
68,6.8999999999999915,0.0,1006.0
69,6.999999999999991,591.0,786.0
70,7.099999999999991,0.0,1688.0
71,7.19999999999999,591.0,1542.0
72,7.29999999999999,232.0,808.0
73,7.39999999999999,359.0,408.0
74,7.499999999999989,232.0,896.0
75,7.599999999999989,611.0,1196.0
76,7.699999999999989,603.0,1418.0
77,7.799999999999988,232.0,1724.0
78,7.899999999999988,437.0,516.0
79,7.999999999999988,232.0,1108.0
80,8.099999999999987,419.0,3571.0
81,8.199999999999987,78.0,1524.0
82,8.299999999999986,359.0,1464.0
83,8.399999999999986,0.0,900.0
84,8.499999999999986,359.0,1196.0
85,8.599999999999985,0.0,0.0
86,8.699999999999985,78.0,1166.0
87,8.799999999999985,926.0,1024.0
88,8.899999999999984,0.0,1828.0
89,8.999999999999984,437.0,516.0
90,9.099999999999984,0.0,788.0
91,9.199999999999983,359.0,1024.0
92,9.299999999999983,78.0,1036.0
93,9.399999999999983,359.0,1936.0
94,9.499999999999982,0.0,300.0
95,9.599999999999982,359.0,1104.0
96,9.699999999999982,0.0,108.0
97,9.799999999999981,0.0,2588.0
98,9.89999999999998,986.0,408.0
99,9.99999999999998,78.0,876.0
100,10.09999999999998,437.0,1020.0
101,10.19999999999998,0.0,600.0
102,10.29999999999998,359.0,1496.0
103,10.399999999999979,0.0,600.0
104,10.499999999999979,359.0,1688.0
105,10.599999999999978,0.0,108.0
106,10.699999999999978,490.0,3092.0
107,10.799999999999978,399.0,408.0
108,10.899999999999977,232.0,378.0
109,10.999999999999977,1192.0,1710.0
110,11.099999999999977,0.0,900.0
111,11.199999999999976,533.0,1324.0
112,11.299999999999976,156.0,1434.0
113,11.399999999999975,359.0,1278.0
114,11.499999999999975,0.0,108.0
115,11.599999999999975,78.0,1922.0
116,11.699999999999974,359.0,408.0
117,11.799999999999974,232.0,900.0
118,11.899999999999974,359.0,2064.0
119,11.999999999999973,0.0,378.0
120,12.099999999999973,1172.0,1036.0
121,12.199999999999973,0.0,1516.0
122,12.299999999999972,591.0,1226.0
123,12.399999999999972,78.0,408.0
124,12.499999999999972,591.0,1294.0
125,12.599999999999971,232.0,1148.0
126,12.69999999999997,232.0,678.0
127,12.79999999999997,591.0,2210.0
128,12.89999999999997,310.0,378.0
129,12.99999999999997,359.0,1168.0
130,13.09999999999997,232.0,636.0
131,13.199999999999969,533.0,900.0
132,13.299999999999969,859.0,786.0
133,13.399999999999968,533.0,1590.0
134,13.499999999999968,156.0,544.0
135,13.599999999999968,232.0,1196.0
136,13.699999999999967,533.0,724.0
137,13.799999999999967,464.0,1466.0
138,13.899999999999967,379.0,472.0
139,13.999999999999966,78.0,958.0
140,14.099999999999966,359.0,1200.0
141,14.199999999999966,232.0,548.0
142,14.299999999999965,359.0,1404.0
143,14.399999999999965,591.0,378.0
144,14.499999999999964,0.0,900.0
145,14.599999999999964,689.0,1650.0
146,14.699999999999964,0.0,378.0
147,14.799999999999963,533.0,408.0
148,14.899999999999963,0.0,1516.0
149,14.999999999999963,765.0,1274.0
150,15.099999999999962,232.0,518.0
151,15.199999999999962,359.0,1294.0
152,15.299999999999962,0.0,486.0
153,15.399999999999961,359.0,978.0
154,15.499999999999961,779.0,1464.0
155,15.59999999999996,0.0,600.0
156,15.69999999999996,611.0,1136.0
157,15.79999999999996,232.0,488.0
158,15.89999999999996,359.0,1468.0
159,15.99999999999996,0.0,620.0
160,16.09999999999996,533.0,1594.0
161,16.19999999999996,78.0,896.0
162,16.29999999999996,359.0,378.0
163,16.399999999999963,232.0,1748.0
164,16.499999999999964,232.0,300.0
165,16.599999999999966,950.0,808.0
166,16.699999999999967,232.0,1044.0
167,16.79999999999997,631.0,1226.0
168,16.89999999999997,0.0,728.0
169,16.99999999999997,591.0,1294.0
170,17.099999999999973,232.0,896.0
171,17.199999999999974,611.0,456.0
172,17.299999999999976,232.0,2084.0
173,17.399999999999977,232.0,620.0
174,17.49999999999998,359.0,866.0
175,17.59999999999998,232.0,802.0
176,17.69999999999998,902.0,300.0
177,17.799999999999983,78.0,1962.0
178,17.899999999999984,843.0,1644.0
179,17.999999999999986,232.0,188.0
180,18.099999999999987,359.0,756.0
181,18.19999999999999,232.0,674.0
182,18.29999999999999,591.0,1940.0
183,18.39999999999999,232.0,1052.0
184,18.499999999999993,310.0,636.0
185,18.599999999999994,533.0,866.0
186,18.699999999999996,232.0,1168.0
187,18.799999999999997,1154.0,1166.0
188,18.9,232.0,1028.0
189,19.0,591.0,674.0
190,19.1,504.0,880.0
191,19.200000000000003,533.0,456.0
192,19.300000000000004,232.0,1956.0
193,19.400000000000006,0.0,2598.0
194,19.500000000000007,1005.0,566.0
195,19.60000000000001,232.0,186.0
196,19.70000000000001,591.0,1182.0
197,19.80000000000001,232.0,728.0
198,19.900000000000013,976.0,1926.0
199,20.000000000000014,0.0,486.0
200,20.100000000000016,359.0,1008.0
201,20.200000000000017,252.0,616.0
202,20.30000000000002,359.0,1036.0
203,20.40000000000002,232.0,1520.0
204,20.50000000000002,0.0,724.0
205,20.600000000000023,553.0,1138.0
206,20.700000000000024,0.0,408.0
207,20.800000000000026,359.0,1182.0
208,20.900000000000027,232.0,1608.0
209,21.00000000000003,359.0,1544.0
210,21.10000000000003,595.0,378.0
211,21.20000000000003,533.0,956.0
212,21.300000000000033,156.0,756.0
213,21.400000000000034,0.0,1102.0
214,21.500000000000036,765.0,900.0
215,21.600000000000037,0.0,848.0
216,21.70000000000004,359.0,1860.0
217,21.80000000000004,0.0,108.0
218,21.90000000000004,437.0,436.0
219,22.000000000000043,0.0,1656.0
220,22.100000000000044,359.0,708.0
221,22.200000000000045,579.0,600.0
