,time,estimated_rtt,sample_rtt
0,0.5944359302520752,0.0,67.49296188354492
1,1.6000268459320068,0.0,81.15577697753906
2,2.599202871322632,0.0,79.73289489746094
3,3.592758893966675,0.0,72.14999198913574
4,4.599087953567505,0.0,78.22299003601074
5,5.598937034606934,0.0,77.31199264526367
6,6.599078893661499,0.0,76.38382911682129
7,7.600250959396362,0.0,77.056884765625
8,8.602820873260498,0.0,78.22799682617188
9,9.591063976287842,0.0,65.19603729248047
10,9.932744026184082,0.0,77.30817794799805
11,10.601103067398071,0.0,73.11606407165527
12,11.599355936050415,0.0,87.35799789428711
13,12.593240022659302,0.0,80.33394813537598
14,13.590617895126343,0.0,77.18992233276367
15,14.59946584701538,0.0,84.49578285217285
16,15.591678857803345,0.0,75.2267837524414
17,16.599596977233887,0.0,82.0319652557373
18,18.163781881332397,0.0,645.2598571777344
19,18.163781881332397,0.0,344.4700241088867
20,18.163781881332397,0.0,44.03281211853027
21,18.598334074020386,0.0,77.97503471374512
22,19.598532915115356,0.0,77.30793952941895
23,20.596899032592773,0.0,74.4321346282959
