Length/bytes,Throughput(KBytes/s)
379,0.0
122,27.46436634534876
300,59.47061659309393
300,59.47061659309393
140,27.717845645503893
300,50.768254992939276
88,12.75675173500705
78,8.775471276022177
108,10.479428678506734
316,23.314805516464958
300,21.791686438593878
359,16.17239543963096
300,12.950845521258968
140,5.98874015691818
300,12.001144518329461
300,11.382821164614676
300,10.471161455737127
122,3.924013450559226
108,3.259481645913459
300,8.964831510146153
166,4.728871598290622
98,2.757749878060808
300,8.425026581569933
378,9.11704546081868
300,6.91626441058812
379,8.410537533484405
136,2.951728366122246
300,6.213713128196568
252,5.09139091630764
300,5.868567057813928
122,2.2622878899611476
300,5.524820814182419
108,1.934395045733107
232,3.9731323926248607
136,2.3129605755869425
78,1.241069922817155
188,2.842063698078389
359,5.333792184900859
300,4.297956381398049
140,1.9314043932680063
140,1.91616226221026
316,4.2937171394917
300,4.060000535615356
300,3.9641219721888894
232,3.040429537717031
108,1.3780607571739134
300,3.5182608044048056
232,2.715117401912092
359,3.994809447642374
300,3.317552328999718
300,3.2788347560478286
400,4.3572928981481285
300,3.267969673611097
300,3.2421562099977534
300,3.184297001354658
264,2.798450613990683
300,3.1200113068036712
300,3.091266074302931
108,1.0730189748322434
296,2.8672140000683597
533,4.751470526848705
300,2.670578647106764
378,3.322781488626611
78,0.6682137445991339
300,2.526321876096728
316,2.657751210515984
164,1.3527245724714063
108,0.8778666931262867
300,2.423603750438912
140,1.1245168304313764
300,2.314360946453888
232,1.7822789973813788
359,2.666975448500229
300,2.204993838661244
300,2.200124808080038
188,1.3686513060547
232,1.6683074560810214
140,1.0015445414184279
300,2.1461668744680598
300,2.124557015029704
108,0.7409242038600989
300,2.036698379257159
164,1.1078693000443878
300,1.964578632173444
300,1.9177219443760731
359,2.2880040406704913
300,1.9013730085347056
300,1.8984624051874874
300,1.8320207375190805
108,0.6419034306848616
136,0.7819430503718108
300,1.7204862352618329
358,2.0496320257624827
140,0.7884454573883475
316,1.7663468220618228
300,1.6744247692576497
533,2.974376565644094
300,1.6611368100880803
300,1.6437067328699886
300,1.6089896387401075
232,1.233545792864444
300,1.5872528438426445
300,1.5793977711545453
108,0.5636916794455579
122,0.6194310926379828
300,1.4910587396880948
533,2.644948655983376
556,2.7475622493120593
300,1.479176127343343
371,1.7951843335755624
140,0.675133422200985
188,0.9066077383841801
300,1.438933139629294
300,1.4335560413479504
300,1.4318345601057811
232,1.0992921017209367
108,0.5050257114634641
300,1.3494706108705696
300,1.3438102064930526
639,2.846208334877592
300,1.2884781822449065
231,0.989614571073388
140,0.5986951113576209
300,1.2666174363797862
108,0.454550212020155
232,0.9753107216486373
316,1.3241169946322016
300,1.2261102207033323
300,1.2224012546822776
300,1.216293909237335
359,1.4544358049529758
300,1.2072652875365657
300,1.201473976252605
232,0.9235793833094674
300,1.1749776474416767
300,1.173779104477612
136,0.5289225378956995
108,0.4157458142264354
251,0.9648687359322285
300,1.1403306120961985
232,0.8768097298022047
300,1.121132719947766
359,1.3341965399703362
300,1.10970091574116
232,0.8481075854007228
188,0.68461494155723
300,1.080289241032047
140,0.49671600420108925
140,0.49648010499088
108,0.3827848794402737
232,0.8212668567665831
231,0.8051038749651412
300,1.0364562848049899
300,1.0307754528075126
533,1.829231378254249
300,1.0188476390674406
300,1.0082145663545317
316,1.059496017577369
300,1.0001309884285077
232,0.7724897462841915
300,0.9986610879458071
300,0.9900960587952627
108,0.3543441956633701
232,0.7611813269206309
78,0.25249099414345344
300,0.9636491949302952
300,0.9610194407886296
359,1.144523666570818
300,0.9501958135966021
300,0.9460991165118345
751,2.3609980957143755
78,0.24486020496495825
320,0.9912147142414457
136,0.41886117997585925
78,0.23852291168871637
108,0.33007201931707336
140,0.42657811238119414
300,0.8934394685023994
532,1.5837886436114903
128,0.3797361903528484
88,0.2610686308675833
98,0.28795741745972425
300,0.8759990726862231
300,0.8734491535612512
188,0.5468686577544357
300,0.8639169249807551
108,0.3070529038009678
300,0.8525240899192572
232,0.6559503464762905
108,0.3042836389269592
300,0.8436314797760349
300,0.8379267909370354
379,1.0584040777595227
316,0.8785284152624786
300,0.8153197468221066
300,0.8141061652846995
300,0.8104311977552259
320,0.8576138124294893
108,0.28842117166333286
232,0.6170832972393046
300,0.7891767072643211
423,1.1119665723852896
218,0.5694647770833527
300,0.7797732723482704
300,0.779440033182338
78,0.20265155907036497
300,0.7789362960233671
300,0.7644268271405196
78,0.19730191224822735
108,0.2720169398366655
108,0.2704140051684832
379,0.9410610199733483
300,0.7442787056072917
300,0.7436761523322772
316,0.7807701194683082
232,0.5635744859086472
188,0.4566450529332526
300,0.7267256722216164
300,0.7262139322430679
300,0.7228401803143559
186,0.4431787529753666
78,0.18546651170482162
300,0.7065315006995736
634,1.4931190491791995
519,1.220984546509949
300,0.7023431734255553
609,1.4178680593351374
300,0.6982635297065957
78,0.1809914006382028
300,0.6889095355754759
300,0.6878591223177652
300,0.6856380998837246
232,0.52912380960149
140,0.3186779351822108
108,0.2442889516271726
300,0.671565039284668
359,0.8024471348618192
108,0.24078157445805587
316,0.7024760525321043
78,0.17266595592410958
300,0.6636839097695819
300,0.6610161291059735
300,0.6597511593963762
232,0.5084681743421223
188,0.4119745158903694
320,0.699387028115501
300,0.6521333663781671
232,0.5036062011743894
300,0.6473639759569714
108,0.23245742461289282
232,0.498817456156305
533,1.1350732681374993
300,0.6365443780971556
78,0.16412024057103916
188,0.3924779379309507
78,0.16251151233508648
300,0.6217698858179785
78,0.16090910606678463
108,0.22180854050234708
300,0.61411944816616
78,0.1593677892997322
359,0.7296789225008757
316,0.6380394253852065
232,0.46724716585604464
300,0.6036188022983248
300,0.6007680220924521
140,0.27959313281882453
188,0.3748258096508587
300,0.5974943524209019
300,0.5961650913641355
1242,2.4601950851972902
1242,2.460134204708249
901,1.7846584112310844
300,0.5940303287579349
118,0.23345463831828167
300,0.5915264964401684
108,0.2120055171954166
300,0.5870867903988451
359,0.698068994989451
300,0.5832837757298759
300,0.5829855611494186
78,0.15118637153174513
232,0.4472473540191906
300,0.5741592578249537
188,0.3588097095186717
300,0.5681322063681189
108,0.20299874226192624
232,0.4359648362026809
359,0.6690449035014601
78,0.14503433195068058
316,0.5853814974406013
843,1.5581232392445241
300,0.5531671027381325
300,0.5523367656323416
300,0.5503717692605661
188,0.3441747733888229
300,0.5486963454029931
300,0.545027736054688
78,0.1413040919810302
140,0.25340714388392316
300,0.5423524727812195
300,0.5415302090369427
232,0.41845230381331083
108,0.19467035403858676
359,0.6424048723539579
128,0.2285612247117829
252,0.44737589506216346
300,0.5322446134336553
300,0.5280696165385359
300,0.525635773927331
300,0.5235579202950619
78,0.1358880725501291
300,0.520568257823379
108,0.187021114234794
359,0.6178206210361346
78,0.13361584548846003
316,0.5391381859835468
300,0.5106335938706983
136,0.23088203176874939
300,0.5083296473150066
78,0.13216259557230922
188,0.3177907696176657
300,0.5061708991815003
232,0.39026464465200916
300,0.5037922008994653
300,0.5004861308329137
108,0.18003585575855025
300,0.49788085579919517
359,0.5949738095852433
140,0.23189734922186575
300,0.4954961046204637
232,0.38169307974901917
1158,1.8915902863239071
258,0.42139056846095746
278,0.45367496104520255
78,0.12697773618271344
98,0.15890213269437717
300,0.48541136345031716
300,0.4840688008031991
108,0.17350445147661067
300,0.4813350997074099
359,0.5738284568402061
300,0.47869259058349584
78,0.12442044606584778
300,0.47825798091698163
316,0.5016684293569962
300,0.4718875250486911
188,0.29519492907927924
232,0.36309820237609747
300,0.4683276291599354
300,0.4664076812689284
300,0.4657653072045917
108,0.16745753829619667
359,0.5540625334386592
657,1.0070815941567395
300,0.45817565797623383
232,0.35321200905224204
320,0.48616939483237587
300,0.4553317942000246
300,0.4523331917572906
218,0.3285437224193391
78,0.11717422606011003
108,0.1617806149262079
300,0.44793207930934464
533,0.7952987510840994
108,0.1608469368356009
78,0.1156261812687867
316,0.46834422655873476
78,0.1151655963652028
232,0.3416633335820404
300,0.4414593851893919
300,0.4407812563492142
188,0.2755608257503032
300,0.4375605462079061
140,0.20376357171554646
78,0.11305832159342026
108,0.15650669776083243
359,0.5185005624373269
300,0.4309460542730742
232,0.3329151285124886
78,0.11154033542114511
300,0.42900129008132737
300,0.42852691217551453
300,0.4282513937326878
300,0.42744364323536904
300,0.4263636557393175
188,0.2659943926339582
300,0.42359574402976796
232,0.3266651336241279
300,0.4213739310738875
140,0.19664116783448082
300,0.42101735474916785
108,0.15156624770970042
300,0.42027301938566697
359,0.5023391546872711
78,0.10861161784397139
316,0.43892539649575674
232,0.32061464478500584
300,0.4129224937450812
300,0.4124164877811706
208,0.2851497405489906
300,0.41046960230002894
108,0.14688615630416607
359,0.4871767354368382
232,0.3129277475982483
78,0.10493351536246032
300,0.402418480664685
378,0.5060403425485978
140,0.18742234909207323
78,0.10395238793673857
188,0.25005934987606904
300,0.39903087746181226
300,0.39815134723580947
108,0.14247092292829255
300,0.39564003705201306
533,0.7020087400803479
78,0.10255671061371478
603,0.7895994822514072
300,0.39257828111846566
300,0.39192232564092266
300,0.3900878610616552
140,0.18204100182877245
300,0.38979257363593484
300,0.3892328344428336
300,0.38853293962872876
188,0.24280126319730808
300,0.3866434242656934
232,0.29856661787710675
320,0.4106578500097449
316,0.4052780519501368
108,0.13841651823315207
359,0.45937281508832967
108,0.13799366816328296
78,0.09924320512916575
300,0.38007450817341104
232,0.29351810430719194
300,0.3795418313191857
208,0.2610899200550278
300,0.3764172509256884
300,0.37582455432535183
1242,1.5489702914231183
1242,1.5489559675307505
901,1.1236648740286972
108,0.13453968645263248
419,0.5212866516690863
78,0.09633137768690361
136,0.1673104618596025
300,0.36858360382905475
300,0.36831353896435
300,0.3673831335071994
300,0.36723882250788414
78,0.09542783153774241
188,0.22950944337504078
300,0.3652998218602946
300,0.3635259811088241
316,0.38291128993978496
108,0.13080072474690513
300,0.3632047019332248
140,0.16949552756883826
359,0.43448708393981944
300,0.3611396859500669
300,0.35905336287086054
300,0.35840974338987464
300,0.3569700224788004
300,0.35655114391151443
188,0.2234387168512157
300,0.35557072708123916
108,0.12733288601357423
359,0.4230763517942253
188,0.2176377825315607
300,0.347085792633449
378,0.43640262932648993
78,0.09002993515316023
300,0.3459323835059122
316,0.3631363681657918
108,0.12407817361988333
300,0.3445600507223982
359,0.4122302644835169
300,0.3443406817730471
567,0.6477461446272121
300,0.3407626409524977
300,0.34069716012864965
300,0.340576441364604
300,0.34031052775275705
188,0.21214098705054274
140,0.15776542795821713
300,0.3374938011935449
359,0.40195797003522005
108,0.12086750554014632
108,0.12074338835844428
300,0.33426131809752
78,0.08690510542575373
300,0.33038817639496365
300,0.33032539024241947
188,0.2069384927005244
300,0.32931061926479815
316,0.34536734547476433
359,0.39215532021889155
108,0.11796942968569107
300,0.327054967296094
300,0.3258908845042969
300,0.3249627276792007
300,0.32419506347664184
136,0.14676915693665213
78,0.08397586527256758
300,0.32216414709652363
300,0.32216242317609106
188,0.20178095290468495
300,0.32140268745917944
300,0.32109803383176655
300,0.320324490494534
359,0.3828463493528972
108,0.11513484839092138
140,0.14909049481908984
300,0.3173467437544952
300,0.31439461685089976
188,0.1968101442356615
300,0.31382131563205456
316,0.32927721592574744
359,0.37398634052304464
108,0.11245350636560289
300,0.30907331175413555
300,0.3082447434815261
300,0.3081784666315552
300,0.30774413460597094
300,0.3072622326045334
300,0.30663239319617847
188,0.19202364299582825
300,0.30623053662318195
300,0.3061906547661502
359,0.3655023239751546
108,0.10988485500935616
300,0.3044837315549274
627,0.6354670222227636
300,0.3023411794257395
136,0.1368000461415839
78,0.07834984011786637
300,0.3007627950450351
140,0.14011918287201267
300,0.29976615074986135
188,0.18757806045366235
359,0.35740803049846137
316,0.31434478066258387
108,0.1074342921251869
108,0.10738799424608661
78,0.07731167733564152
300,0.2954021252057858
300,0.2946775908829587
300,0.29303224849084897
300,0.29303224849084897
188,0.18335220547225528
359,0.34964782369905445
300,0.2919902926645924
108,0.10502068837732596
300,0.29136241141118685
300,0.2902934270399594
300,0.2889805588881297
300,0.28819606576065016
300,0.28775758434520105
300,0.2872339711571522
300,0.2867236867140707
188,0.1794125084415754
300,0.2862438865926685
359,0.34223496591867303
108,0.10276390205650611
300,0.28293419949624626
232,0.21840165513997004
140,0.13168159466433527
300,0.28174204093319766
316,0.2967655786695642
1158,1.0864214392354392
258,0.24185692079002938
278,0.2605660231767738
300,0.2806825565824792
300,0.2806825565824792
399,0.3724883948999014
108,0.10061176488984044
300,0.2785990217105059
232,0.21478373034840562
78,0.0721026840661889
300,0.27699613455277644
136,0.12476677130803222
300,0.274849808480789
300,0.274849808480789
188,0.17203672718521165
379,0.3465989272587821
300,0.2740324884632452
300,0.27390631315475233
108,0.09852412701764267
813,0.7404992708404927
78,0.07094348525737063
300,0.2719040467397314
300,0.2718375221621611
300,0.2713178734179311
300,0.2700412900162013
300,0.26929068299511716
300,0.2692878072035624
188,0.16860473736779183
533,0.4777048940581111
128,0.11459819842042297
108,0.09656012580436425
78,0.06963229405765206
378,0.3361325697819104
140,0.12449354436367052
78,0.06935709963785902
316,0.2809040931925034
300,0.26604822443759363
300,0.2659243248004624
300,0.2646256149123791
78,0.0686862050086706
300,0.26399375474063863
300,0.2639356723249797
300,0.26384349289206993
359,0.3154681121226937
108,0.09464783901405494
300,0.2607395103313806
378,0.32751965183712145
140,0.12130357475448941
316,0.27362073941882703
78,0.0674856763301965
300,0.2587884093078593
300,0.2587472310377443
188,0.16207393693807798
359,0.30941583352940394
300,0.25794924020369253
108,0.0927944579409478
300,0.2558341023692868
300,0.25575299376694516
232,0.19766282430718526
300,0.2545089643688194
300,0.25422324063983004
140,0.11863751229858734
359,0.303601779702219
300,0.2536583206387372
300,0.2535807676616421
300,0.2534237979842728
316,0.2667336064545263
108,0.09098565529972732
300,0.2521809859658085
78,0.06536585237201673
300,0.2509490229283413
359,0.2979984833645771
300,0.2489227433397072
140,0.11616394689186338
188,0.15599079583482583
300,0.24892148271514764
813,0.6723531866566143
108,0.08926851872397949
300,0.24709295064390324
316,0.2601425079981943
300,0.24691742058639285
300,0.246286813265923
300,0.24596072701206
232,0.18976943080688308
300,0.2447112783458079
140,0.11419781480166813
359,0.29258072339231983
300,0.24443544632868716
300,0.24432631513398614
98,0.0797910517823693
88,0.07164910772294386
300,0.24382092362445565
78,0.06334121914354873
108,0.08763143113883082
300,0.2418256292603255
78,0.06278597311962844
300,0.24132085572594172
316,0.25389599574579597
232,0.1863737192509377
300,0.24093890659577885
359,0.28737833431447835
300,0.23984904672632545
232,0.1850561701895564
108,0.0860607686886077
300,0.23870421574929565
140,0.11139530068300463
300,0.23814619182120048
300,0.23789753749653847
232,0.18374875290362858
300,0.23745745767885193
78,0.06169272955908902
359,0.2823538557272821
188,0.14772283634370478
320,0.2513733632806446
316,0.24790786626360725
300,0.23518078731295539
232,0.18183523771842736
108,0.08455299014396442
378,0.2958460171336314
300,0.2345113078553954
300,0.23445471280745817
78,0.06091519445879708
78,0.06085968425769484
232,0.18057141694962253
300,0.23334846409256088
359,0.27749118015974406
320,0.24702620833787012
300,0.23103356838588204
300,0.23103258849176453
140,0.10780389191649481
108,0.08309219257225577
232,0.17809895459225686
336,0.2574884074721667
300,0.2293014161315686
300,0.22835620637781584
300,0.22809108864923758
533,0.40499638946685196
300,0.227572293412133
627,0.47483017720408777
78,0.05898108320478302
108,0.08165774890926471
300,0.2265795294848601
300,0.22590846160306685
232,0.1745119436522198
300,0.2254279730642592
316,0.23671394200222945
78,0.05835906382315138
300,0.22437319412908802
188,0.14053229240507625
300,0.22420720247377662
533,0.39825743571030003
108,0.08063052404333221
300,0.2237082080703207
78,0.05808902225604342
136,0.10116433378611112
108,0.08029263942477208
78,0.05789680942386097
78,0.05775370043555927
232,0.17163415637763543
300,0.221931211178963
78,0.05741524502140069
300,0.22082599362125538
140,0.10305213035658584
300,0.22082599362125538
533,0.3916771012204452
300,0.22009547869159835
316,0.23146065778482278
108,0.07898490846022604
232,0.16929112756085232
78,0.05689066660350809
300,0.21878745139908712
300,0.2182451971324847
300,0.2180268674812758
300,0.21776693648633955
232,0.16820033425087594
188,0.13628096380003302
172,0.12458484838369176
379,0.27389439473871746
300,0.21654162790226622
128,0.09207937469760431
136,0.09750998095272284
316,0.2265233122027234
300,0.21473369465207992
78,0.05582773569729135
78,0.0557339396253283
300,0.21361832364008443
300,0.21349722143715769
300,0.21347590902513677
359,0.2553258356053143
300,0.2129022905150664
300,0.21231121772209544
140,0.09907856827031121
108,0.07637725137495459
232,0.16345047312825678
300,0.21106796625592916
316,0.22174616817403248
188,0.13180522351952104
300,0.21030457155162105
300,0.2100778679272963
359,0.25133568180682386
300,0.20964300244400833
591,0.41248216926598624
78,0.054171315869240955
300,0.20802702601273565
300,0.20745173560318084
300,0.20691368866377535
300,0.20688773429792828
533,0.3674158786365529
108,0.07438940218017842
108,0.07424416856449093
78,0.05360526636207261
394,0.27070434647886055
300,0.2056837673081943
78,0.05344180220742888
300,0.2055016892641169
140,0.09590078832325455
300,0.20450151233525898
78,0.05306974387835416
300,0.2037584309425575
533,0.36187359067789826
108,0.07311095496369314
300,0.20228988022644792
316,0.21273452905306045
300,0.20175459257865966
300,0.20151857632944614
300,0.20142205316218745
232,0.15562391814720958
78,0.0522800114226195
300,0.20068574301955863
533,0.356492169053743
300,0.200491725209024
300,0.2004724318924284
188,0.1254166094280697
108,0.07204154884974182
300,0.19978284914722313
140,0.09323199626870413
232,0.15379217305264917
78,0.05165833823735543
300,0.19845968780493992
78,0.05148445464145302
316,0.2085198139752886
359,0.2365855486733649
300,0.19768145974679002
300,0.19766025362549974
300,0.19717890687750045
108,0.07097230170097946
78,0.051062953552346996
300,0.19505133793938595
300,0.19501517697669715
359,0.23316525661074863
378,0.2454918471912818
300,0.19436582619863293
779,0.5044911348269214
108,0.06993674866137276
316,0.2045475583853306
300,0.19398668221160978
300,0.1935974477637492
140,0.09034547562308295
300,0.1927399737444135
300,0.19266247422147195
533,0.341247629404363
300,0.19201516233009427
128,0.08188688838894183
300,0.19186282756369785
300,0.19161867486056572
78,0.04979645333978746
108,0.06892615989949895
188,0.11974213311880871
300,0.191036854884958
232,0.14685974946661992
320,0.20220455812524307
359,0.22661348681183235
300,0.18927559362975394
300,0.18907570828829673
300,0.1890539761816467
140,0.0881450286825855
108,0.06795637360766904
300,0.18821443887824607
320,0.20013639089019555
300,0.1873090035451562
316,0.19681877145503074
533,0.33179254190614205
300,0.18664437499491968
378,0.23506355868877385
300,0.18635524127818645
78,0.04841982474149904
188,0.11646807813668954
300,0.18562860735791922
108,0.06681753755647489
300,0.18540911832890328
78,0.04795143468510096
300,0.18437208061150123
359,0.22040159866618075
300,0.18403033732734947
300,0.18375770322264753
140,0.0857417369681597
232,0.1420544653013108
300,0.18365379585553407
300,0.18351828317511054
108,0.06588769846824735
300,0.18295139315486858
300,0.18220790697487854
232,0.14090018249227879
359,0.21744399859571295
320,0.1936251106272758
300,0.18136481182386344
591,0.35699016274169554
188,0.11329770988461763
108,0.06500004864404928
300,0.18048529123519974
232,0.1393934889986085
300,0.18014916936592848
336,0.20167408509178825
300,0.17946899683132245
218,0.13041413769742763
300,0.1794533760310708
553,0.33049120627268275
108,0.06449818574624377
300,0.17908255831990325
78,0.046491625684927707
300,0.17834303183403566
320,0.19004315052190535
108,0.06412553419738849
232,0.13718677528087608
300,0.1773132213105575
78,0.046023962964151434
359,0.21172609959362085
316,0.18633155405499352
300,0.1768081031314279
300,0.1766952811203247
232,0.13611640541303427
188,0.11017141031712291
108,0.0632826947718669
300,0.17563698268768085
300,0.17559475166321475
78,0.04560229057079857
232,0.13541054548720935
378,0.22039632603773204
379,0.22061763146882915
140,0.08138696420753579
300,0.1743774015950177
232,0.13470679169087582
320,0.18557880856000966
316,0.1831489923752041
300,0.17370152885195256
300,0.17368546938553756
300,0.17353139394221573
108,0.06245984538560994
232,0.13401933501915045
320,0.1847167746534458
300,0.17272460745886165
359,0.2063197035364166
78,0.04477950717477957
300,0.17210757035002558
300,0.17186552239459751
188,0.10752114907810466
78,0.04453927608732442
108,0.06166976689014152
300,0.17119157242334407
316,0.18006585540848366
232,0.13197869219318295
359,0.20371204162224288
300,0.16996309074997065
543,0.3073423546097384
136,0.07683488187444647
78,0.04403850202248488
300,0.16931146990227727
300,0.16912275174574126
108,0.060867647790152926
300,0.16890805767946465
140,0.07882376025041685
300,0.16890739107964337
300,0.1688588386733005
78,0.04387510029137709
232,0.13032981523911275
300,0.16833269215382096
300,0.16825126557379733
300,0.1681914433277956
359,0.2011720318081457
316,0.17703004715591908
128,0.07167939297389067
300,0.1677783655624809
252,0.14086337399787746
188,0.10498081425061935
232,0.12903886783936339
78,0.04330694504058756
300,0.1663299309109306
300,0.16624895603169912
359,0.19868766384666395
78,0.04311869555774874
300,0.16566693090878354
188,0.10371970791137185
108,0.05948587981170211
232,0.12777151244550355
78,0.042895040991091406
300,0.16466551238166244
140,0.07684390577810914
232,0.12715101649556568
300,0.16430925696857368
300,0.1642805735459687
300,0.16418954843161024
300,0.1640301810343753
359,0.19626295441871483
300,0.16400050909200395
232,0.12653232229033262
300,0.16360251858886973
188,0.10248832345673561
78,0.04245710573737127
186,0.1011825124305614
300,0.1631642725862693
78,0.04233492736681335
336,0.18212445137264233
232,0.1256084016745592
300,0.16229292577949386
533,0.2878984063376891
78,0.0420889884237812
188,0.10129476801484612
300,0.16164058725773317
300,0.1613406402104975
108,0.05804829336339576
300,0.16115623252490302
232,0.12441562178657538
320,0.17122831361546345
300,0.1605008569948537
140,0.07490039993093173
78,0.041697763597372706
300,0.1602415914537492
533,0.284465943880466
188,0.10020231248983719
300,0.1598859720292002
621,0.33065285989612747
300,0.15966644592200002
232,0.123237700996121
300,0.15927525013908045
108,0.057339090050068965
320,0.16977516098270543
300,0.15887069631544803
232,0.12265718819504334
300,0.15858609631701856
78,0.04119762340645017
359,0.18934568165181154
188,0.09913258386674269
108,0.05693192553688227
252,0.13259902144667166
156,0.08199809180751105
300,0.1576886380913674
316,0.16590390146525405
252,0.13229277654625116
108,0.05662822602304378
78,0.040764147644155625
300,0.1564799181498475
533,0.27787176337454017
78,0.04063226299111177
188,0.09782866141307923
300,0.15602649192866944
320,0.16631749521265285
300,0.1558234245098896
232,0.12039195268624242
300,0.15553990270424628
140,0.07258528792864827
300,0.15553943549927457
108,0.05596078156876247
300,0.15524948024435006
300,0.1549453519818915
320,0.16510175062728535
1158,0.5972725966100227
520,0.2682046481574914
773,0.39835510617582703
188,0.09679979339992707
232,0.11928767590263695
78,0.04007568322640771
300,0.15400029549464658
108,0.05531730648158464
232,0.11847205492286479
78,0.03979617222368369
300,0.15289308040301505
188,0.09580289976455468
300,0.1528497450866778
359,0.18290401610176638
78,0.03969991104535631
316,0.16080031236071843
232,0.11793479032977372
