CPU/Percentage,Mem/MB
7.7,11.510108947753906
0.8,0.8103263854980476
1.2,0.8119972229003913
0.3,0.8126266479492195
3.1999999999999997,0.818562316894532
11.0,0.8666809082031257
8.4,0.8805282592773445
6.2,0.8715980529785163
7.6,0.8942230224609382
10.0,0.8938339233398445
3.5,0.8947837829589851
4.3,0.9081085205078132
9.100000000000001,0.909077453613282
2.8,0.9120910644531257
2.6999999999999997,0.9120452880859382
1.8,0.9120300292968757
2.6999999999999997,0.9117668151855476
0.3,0.9108131408691413
1.3,0.9112670898437507
1.7,0.9115722656250007
0.3,0.9038742065429695
3.1999999999999997,0.9035766601562507
24.900000000000002,1.025379943847657
15.100000000000001,1.0235450744628913
8.600000000000001,1.0723426818847663
7.1,1.0861518859863288
10.4,1.107502746582032
12.9,1.2019203186035163
42.4,1.4788063049316413
46.199999999999996,1.719063568115235
32.8,1.9880798339843757
16.7,2.162411499023438
9.8,2.1085632324218757
7.8999999999999995,1.9174507141113288
5.3999999999999995,1.950398254394532
23.2,2.122860717773438
14.700000000000001,2.505146789550782
15.200000000000001,2.772064971923829
25.5,2.8186462402343757
21.0,2.843525695800782
20.6,2.8976791381835945
15.600000000000001,2.9004066467285163
19.0,2.8723381042480476
16.6,2.8806312561035163
18.2,2.8738754272460945
19.900000000000002,2.348110961914063
16.5,2.3023422241210945
19.5,2.3020790100097663
15.100000000000001,2.3023193359375007
13.200000000000001,2.301632690429688
11.8,2.2519157409667976
12.3,2.25193099975586
20.900000000000002,2.2434738159179695
11.3,2.243061828613282
3.0999999999999996,2.2429931640625007
1.7,2.243286895751954
4.5,2.241944122314454
8.5,2.243653106689454
13.3,2.241951751708985
8.9,2.2408302307128913
10.9,2.2397506713867195
10.100000000000001,2.2287834167480476
3.1999999999999997,2.2284400939941413
4.1,2.2292602539062507
2.6999999999999997,2.2275321960449226
3.6999999999999997,2.2284400939941413
4.3999999999999995,2.2148368835449226
4.6,2.205075073242188
10.3,2.20481185913086
4.1,2.2035072326660163
7.999999999999999,2.19004135131836
3.5999999999999996,2.1881568908691413
0.8,2.1872795104980476
6.0,2.1829040527343757
8.4,2.1794860839843757
4.1,2.179989624023438
1.3,2.179676818847657
1.9000000000000001,2.1624382019042976
2.1999999999999997,2.160675811767579
10.9,2.1567810058593757
6.8999999999999995,2.156307983398438
7.3999999999999995,2.1566398620605476
6.0,2.156197357177735
2.4,2.155274200439454
6.5,2.1513488769531257
3.5999999999999996,2.1511161804199226
1.2,2.151142883300782
2.6999999999999997,2.149597930908204
3.4,2.150654602050782
6.5,2.1494682312011726
1.2,2.148831176757813
4.1,2.14884262084961
2.6999999999999997,2.1484802246093757
0.8,2.1487243652343757
4.6,2.145149993896485
0.3,2.145516204833985
1.3,2.1416557312011726
0.8,2.1399696350097663
1.3,2.139981079101563
2.6999999999999997,2.138558197021485
3.1999999999999997,2.1393669128417976
0.3,2.1391532897949226
1.2,2.1394470214843757
3.6999999999999997,2.140564727783204
2.9,2.139576721191407
5.6,2.1395805358886726
1.7,2.1395805358886726
2.6999999999999997,2.140023040771485
5.7,2.1396835327148445
2.9,2.1388710021972663
7.0,2.1385848999023445
5.1,2.138558197021485
14.200000000000001,2.1388900756835945
28.6,2.138485717773438
30.1,2.1378334045410163
31.2,2.1371925354003913
28.0,2.1361854553222663
26.2,2.1372497558593757
26.2,2.13761215209961
32.4,2.13700180053711
26.7,2.13712387084961
21.3,2.136971282958985
16.1,2.1365783691406257
15.200000000000001,2.136982727050782
