CPU/Percentage,Mem/MB
11.100000000000001,1.7844055175781257
8.700000000000001,1.7838752746582038
7.8999999999999995,1.7815864562988288
9.4,1.784493255615235
21.0,1.7893531799316413
8.9,1.7978370666503913
11.5,1.7987716674804695
9.4,1.8078125000000007
11.8,1.8073890686035163
15.0,1.8185966491699226
8.9,1.8236663818359382
15.700000000000001,1.831929016113282
18.900000000000002,1.8339660644531257
14.600000000000001,1.8354919433593757
10.4,1.8486450195312507
11.5,1.8482826232910163
13.3,1.8514373779296882
7.999999999999999,1.84793930053711
8.9,1.8442810058593757
8.9,1.8569648742675788
10.700000000000001,1.8585250854492195
7.8999999999999995,1.8573120117187507
11.100000000000001,1.8441703796386726
13.0,1.8422096252441413
5.1,1.8570068359375007
7.5,1.8570564270019538
5.1,1.861592102050782
6.0,1.8615997314453132
18.6,1.8613517761230476
10.3,1.876900482177735
13.200000000000001,1.869576263427735
17.900000000000002,1.863362121582032
12.3,1.8667419433593757
11.200000000000001,1.8668487548828132
6.5,1.8770759582519538
6.0,1.8712623596191413
13.100000000000001,1.8768775939941413
15.200000000000001,1.8803680419921882
9.3,1.8623016357421882
9.8,1.86655502319336
9.8,1.8666503906250007
8.8,1.8815849304199226
7.8999999999999995,1.8824089050292976
8.100000000000001,1.8902862548828132
10.3,1.8903244018554695
5.6,1.8908355712890632
17.400000000000002,1.8785331726074226
18.8,1.897114562988282
24.2,1.9070251464843757
13.0,1.9102142333984382
9.4,1.916573333740235
16.400000000000002,1.9160316467285163
17.1,1.938484954833985
14.0,1.94034652709961
15.0,1.9464958190917976
18.8,1.9456336975097663
14.200000000000001,1.9457977294921882
12.200000000000001,1.9487960815429695
12.8,1.9485900878906257
10.8,1.9434669494628913
18.8,1.935658264160157
15.600000000000001,1.948983001708985
9.8,1.948738861083985
10.600000000000001,1.9434745788574226
8.9,1.9513290405273445
9.700000000000001,1.9570854187011726
10.3,1.967060852050782
10.9,1.9729621887207038
7.5,1.9619491577148445
17.900000000000002,1.967964935302735
7.0,1.9544342041015632
6.0,1.9681098937988288
10.3,1.9675949096679695
7.5,1.9672706604003913
10.600000000000001,1.9680908203125007
10.100000000000001,1.9553688049316413
5.6,1.9671180725097663
11.8,1.9653251647949226
10.4,1.9527214050292976
3.1999999999999997,1.9660385131835945
11.0,1.9659889221191413
6.0,1.9658363342285163
8.5,1.9640968322753913
4.6,1.9656837463378913
8.9,1.9640472412109382
6.5,1.950276184082032
3.1999999999999997,1.9639099121093757
10.9,1.963265228271485
4.1,1.9637763977050788
16.1,1.9543388366699226
12.4,1.9582756042480476
7.5,1.9582450866699226
7.5,1.952828216552735
6.5,1.9570625305175788
3.5999999999999996,1.9581306457519538
13.700000000000001,1.956917572021485
10.600000000000001,1.9574096679687507
4.6,1.9568717956542976
14.700000000000001,1.9615104675292976
4.6,1.959461975097657
10.3,1.9595039367675788
14.700000000000001,1.9610107421875007
7.999999999999999,1.9597290039062507
12.200000000000001,1.95963363647461
12.5,1.9595687866210945
9.4,1.9562500000000007
2.9,1.9595382690429695
7.8,1.9594047546386726
6.0,1.9595764160156257
5.5,1.99106674194336
8.8,1.9794662475585945
9.700000000000001,1.9645011901855476
8.4,1.9781501770019538
14.600000000000001,1.968514251708985
18.3,1.97916488647461
6.5,1.97770004272461
9.9,1.9761398315429695
15.0,1.97501449584961
13.600000000000001,1.975239562988282
17.2,1.9771392822265632
6.0,1.9774826049804695
7.7,1.9767387390136726
9.9,1.9820068359375007
8.4,1.9752357482910163
19.400000000000002,1.975533294677735
4.1,1.9753082275390632
9.9,1.9755409240722663
10.100000000000001,1.9756782531738288
4.6,1.9757736206054695
8.5,1.9606140136718757
2.6999999999999997,1.9748390197753913
15.200000000000001,1.9746444702148445
5.5,1.9735763549804695
4.1,1.974354553222657
9.9,1.9602020263671882
8.9,1.9928443908691413
9.4,2.000172424316407
11.8,1.99955062866211
16.6,1.999989318847657
14.200000000000001,1.991036224365235
8.4,1.993458557128907
17.8,1.9898307800292976
19.8,1.98807601928711
9.4,1.9631813049316413
11.8,2.180050659179688
9.3,2.2502601623535163
6.8,2.2597167968750007
11.8,2.258576202392579
9.100000000000001,2.259407806396485
10.8,2.2652709960937507
21.3,2.264496612548829
18.5,2.2641532897949226
16.5,2.2634208679199226
20.5,2.2651832580566413
12.700000000000001,2.260281372070313
19.5,2.265717315673829
6.5,2.265839385986329
