,time,sample_rtt,is_pingpong
0,0.66579,227.401,0.0
1,0.667048,939.8430000000001,1.0
2,0.887919,967.124,1.0
3,0.889093,222.005,0.0
4,0.956917,211.31299999999996,0.0
5,1.101303,207.73799999999986,0.0
6,1.121669,227.98800000000008,0.0
7,1.167212,207.97299999999996,0.0
8,1.196379,237.10700000000006,0.0
9,1.33974,215.90599999999992,0.0
10,1.362535,238.60900000000007,0.0
11,1.402427,232.51100000000014,0.0
12,1.42882,229.58299999999986,0.0
13,1.575377,230.62300000000002,0.0
14,1.595621,229.65499999999994,0.0
15,1.620669,568.6659999999999,1.0
16,1.855043,212.36199999999994,0.0
17,1.869095,891.6220000000002,1.0
18,2.130412,225.64700000000016,0.0
19,2.189335,243.02399999999992,0.0
20,2.202339,558.4860000000002,1.0
21,2.774839,-1.3930000000001996,1.0
22,2.787172,-3.4649999999998293,1.0
23,2.788368,365.656,0.0
24,2.792676,-4.129999999999967,1.0
25,2.804213,-1.6049999999996345,1.0
26,2.806931,18.66600000000007,1.0
27,2.839841,-2.945999999999671,1.0
28,2.85342,-11.102999999999863,1.0
29,2.865118,-6.001999999999619,1.0
30,2.875291,-3.3689999999997333,1.0
31,2.875301,1.200000000000312,1.0
32,2.896043,-8.631999999999973,1.0
33,2.907334,-16.013000000000055,1.0
34,2.914388,-2.3500000000002963,1.0
35,2.927685,-3.4969999999998613,1.0
36,2.941122,5.190999999999946,1.0
37,2.95952,7.245000000000168,1.0
38,2.979866,29.936000000000185,1.0
39,3.022286,57.786000000000115,1.0
40,3.09313,2.2459999999999702,1.0
41,3.116952,-1.1860000000001314,1.0
42,3.13757,-2.372000000000263,1.0
43,3.145338,-0.7230000000002512,1.0
44,3.157548,9.59000000000021,1.0
45,3.179934,7.468000000000252,1.0
46,3.200752,11.233999999999966,1.0
47,3.231365,1.9000000000000128,1.0
48,3.246332,7.475999999999594,1.0
49,3.266704,10.895000000000099,1.0
50,3.290225,-1.1009999999997966,1.0
51,3.304782,-0.2939999999997944,1.0
52,3.318897,3.247,1.0
53,3.335105,9.142999999999901,1.0
54,3.35698,8.312000000000097,1.0
55,3.378396,8.322000000000163,1.0
56,3.399888,8.74700000000006,1.0
57,3.421557,10.387999999999842,1.0
58,3.445054,9.392000000000067,1.0
59,3.467487,8.794999999999664,1.0
60,3.490662,9.151000000000131,1.0
61,3.512615,11.442000000000174,1.0
62,3.53709,11.14499999999996,1.0
63,3.561103,9.8189999999998,1.0
64,3.573034,20.150000000000112,1.0
65,3.60626,31.041000000000096,1.0
66,3.649587,9.274000000000004,1.0
67,3.671915,8.874000000000049,1.0
68,3.693757,10.728999999999989,1.0
69,3.717407,7.317000000000018,1.0
70,3.737298,9.649000000000019,1.0
71,3.759885,25.171999999999972,1.0
72,3.802289,30.96299999999985,1.0
73,3.846271,23.671999999999915,1.0
74,3.88369,8.66100000000003,1.0
75,3.905459,9.317999999999937,1.0
76,3.927828,9.402000000000132,1.0
77,3.950415,6.628999999999774,1.0
78,3.97043,10.505999999999904,1.0
79,3.994481,24.96900000000002,1.0
80,4.03166,1.9660000000003564,1.0
81,4.033626,220.2259999999998,0.0
82,4.055435,-0.7939999999999614,1.0
83,4.067245,10.597999999999885,1.0
84,4.091106,8.942000000000228,1.0
85,4.113136,7.882000000000389,1.0
86,4.133848,11.031999999999265,1.0
87,4.157713,31.359000000000137,1.0
88,4.201972,11.9170000000004,1.0
89,4.226776,8.97900000000007,1.0
90,4.248447,32.20000000000045,1.0
91,4.293753,10.464999999999947,1.0
92,4.317444,10.138999999999676,1.0
93,4.340618,8.954000000000129,1.0
94,4.362741,7.896000000000569,1.0
95,4.38359,10.801999999999978,1.0
96,4.407301,19.16299999999982,1.0
97,4.440328,2.295000000000158,1.0
98,4.455877,8.085999999999594,1.0
99,4.47713,7.330000000000503,1.0
100,4.48446,236.00500000000045,0.0
101,4.498026,15.01399999999986,1.0
102,4.526102,11.244999999999727,1.0
103,4.550356,10.350999999999999,1.0
104,4.573337,11.789999999999523,1.0
105,4.598246,20.701999999999998,1.0
106,4.632187,13.58899999999963,1.0
107,4.658601,37.536000000000236,1.0
108,4.696137,218.99400000000037,0.0
109,4.709017,7.146999999999792,1.0
110,4.729288,9.024999999999395,1.0
111,4.751261,9.999999999999787,1.0
112,4.774258,15.703000000000245,1.0
113,4.803348,8.252000000000592,1.0
114,4.824627,14.871999999999552,1.0
115,4.852611,14.120000000000132,1.0
116,4.879639,15.18200000000025,1.0
117,4.894821,224.8670000000006,0.0
118,4.907938,8.901999999999965,1.0
119,4.929803,9.151000000000131,1.0
120,4.938954,229.92100000000005,0.0
121,4.951259,32.84500000000001,1.0
122,4.984104,221.7660000000006,0.0
123,4.997279,11.067999999999856,1.0
124,5.02164,7.490999999999914,1.0
125,5.044895,11.757999999999491,1.0
126,5.070555,6.598000000000326,1.0
127,5.090607,7.929999999999993,1.0
128,5.111386,12.191999999999759,1.0
129,5.136562,6.321999999999939,1.0
130,5.155828,9.406000000000247,1.0
131,5.178321,10.20799999999955,1.0
132,5.202202,7.774000000000392,1.0
133,5.223332,27.440000000000353,1.0
134,5.263822,53.99200000000004,1.0
135,5.330928,7.354000000000305,1.0
136,5.351273,8.83300000000009,1.0
137,5.373348,3.1689999999997553,1.0
138,5.38969,8.433000000000135,1.0
139,5.410758,9.212999999999916,1.0
140,5.43394,7.58900000000029,1.0
141,5.455773,9.023000000000003,1.0
142,5.478887,7.452999999999932,1.0
143,5.498487,8.791999999999689,1.0
144,5.520234,6.6709999999998715,1.0
