On Time/s,End Time/s,Delay/ms,Length/bytes,Throughput(KBytes/s)
7.056854963302612,7.061629056930542,4.7740936279296875,56,0.011186576108669596
7.081437110900879,7.0913920402526855,9.95492935180664,163,0.015615270393255736
7.130635976791382,7.13455605506897,3.9200782775878906,223,0.05425130762680939
7.156697988510132,7.163204908370972,6.506919860839844,242,0.03546826908984318
7.16979193687439,7.175739049911499,5.947113037109375,317,0.05083386786401539
7.178217887878418,7.208307981491089,30.0900936126709,8263,0.26188721703233575
7.209788084030151,7.230036973953247,20.248889923095703,12610,0.5939008595313788
7.235424041748047,7.24216103553772,6.736993789672852,7899,1.1181654103408005
7.2438719272613525,7.255872011184692,12.000083923339844,11030,0.876579512040054
7.257052898406982,7.25744104385376,0.38814544677734375,1358,3.3366093366093366
7.257589101791382,7.26440691947937,6.817817687988281,3253,0.45502867533920827
7.265399932861328,7.284502983093262,19.103050231933594,11465,0.5723628376017174
7.286885976791382,7.292344093322754,5.45811653137207,59,0.010308828026034158
7.315570116043091,7.33459997177124,19.029855728149414,9896,0.49593445005449965
7.3448710441589355,7.363693952560425,18.822908401489258,2716,0.13760782277166272
7.369220972061157,7.391443967819214,22.22299575805664,11190,0.48020598648213714
7.395188093185425,7.425203084945679,30.014991760253906,29876,0.9492580942395069
7.43247389793396,7.488343000411987,55.869102478027344,162893,2.780550671696567
7.489289045333862,7.583270072937012,93.98102760314941,231282,2.346938620191027
7.5840160846710205,7.6164469718933105,32.43088722229004,64930,1.909354897996692
7.626633882522583,7.669095039367676,42.46115684509277,154736,3.4753586568966
7.669323921203613,7.677364110946655,8.040189743041992,31342,3.7175814725854757
7.6847240924835205,7.692867040634155,8.142948150634766,6790,0.7952216431457516
7.695493936538696,7.723422050476074,27.92811393737793,125482,4.284892307429635
7.723957061767578,7.745268106460571,21.311044692993164,86528,3.872148570789282
7.745481967926025,7.765609979629517,20.12801170349121,41386,1.9608874358883244
7.796667098999023,7.803617000579834,6.949901580810547,59,0.008096054888507719
7.821624994277954,7.825701951980591,4.076957702636719,3446,0.8060818713450293
7.826487064361572,7.834212064743042,7.725000381469727,10358,1.278725965247986
7.836510896682739,7.85525107383728,18.740177154541016,7619,0.3877255031678583
7.872212886810303,7.874227046966553,2.01416015625,6953,3.2921401515151514
7.894056081771851,7.907677888870239,13.621807098388672,7315,0.5121293800539084
7.978053092956543,7.986109018325806,8.055925369262695,43542,5.154576933321495
7.992116928100586,8.010853052139282,18.73612403869629,8955,0.45581217789654516
8.021997928619385,8.025660991668701,3.6630630493164062,4059,1.056756053111169
8.036725044250488,8.045171976089478,8.446931838989258,570,0.06435406023314234
8.050652980804443,8.082097053527832,31.444072723388672,479,0.014527698163565504
8.084036111831665,8.100313901901245,16.277790069580078,188,0.011014441808008906
8.103342056274414,8.122657060623169,19.315004348754883,601,0.029674249811758608
8.127185106277466,8.154640913009644,27.455806732177734,606,0.021049340905538477
8.169209003448486,8.169325113296509,0.11610984802246094,576,4.731006160164271
8.184120893478394,8.203283071517944,19.16217803955078,19222,0.9566515701985766
8.205519914627075,8.237781047821045,32.26113319396973,48043,1.4202035281162932
8.296317100524902,8.305509090423584,9.19198989868164,7416,0.7694143279555947
8.316592931747437,8.319859027862549,3.2660961151123047,209,0.06102635228848821
8.326814889907837,8.368577003479004,41.76211357116699,18133,0.41408288280059147
8.371077060699463,8.372205018997192,1.1279582977294922,549,0.4641724793912492
8.38571810722351,8.386516094207764,0.7979869842529297,188,0.22467881685091126
8.40539002418518,8.42431092262268,18.9208984375,482,0.02429435483870968
8.435832023620605,8.43595290184021,0.12087821960449219,593,4.678500986193294
8.451570987701416,8.451679944992065,0.10895729064941406,188,1.6455142231947484
8.470535039901733,8.48512601852417,14.590978622436523,209,0.013660353927351754
8.486186027526855,8.501017093658447,14.831066131591797,188,0.012088866025785294
8.50388789176941,8.518845081329346,14.957189559936523,504,0.03213517175420419
8.520953893661499,8.537173986434937,16.2200927734375,1151,0.06767403574788335
8.551690101623535,8.551776885986328,0.08678436279296875,188,2.065934065934066
8.572354078292847,8.576030015945435,3.6759376525878906,496,0.1286807627448437
8.583169937133789,8.586632013320923,3.462076187133789,247,0.06803939122649955
8.601346969604492,8.601438999176025,0.09202957153320312,188,1.9481865284974094
8.607609987258911,8.62635588645935,18.745899200439453,350,0.017805814870399103
8.635921955108643,8.640430927276611,4.50897216796875,544,0.11505922165820642
8.653852939605713,8.653927087783813,0.07414817810058594,209,2.688102893890675
8.676662921905518,8.67957592010498,2.9129981994628906,247,0.08086429857587167
8.686064004898071,8.691879034042358,5.815029144287109,269,0.04411644116441164
8.702874898910522,8.71952199935913,16.6471004486084,873,0.050012173639058764
8.73633599281311,8.737544059753418,1.2080669403076172,188,0.14841128873100454
8.75046706199646,8.752312898635864,1.8458366394042969,268,0.13846551278739344
8.767330884933472,8.78504204750061,17.711162567138672,685,0.036884473521255685
8.78673505783081,8.801526069641113,14.791011810302734,488,0.031464586221348206
8.817682027816772,8.820653915405273,2.9718875885009766,59,0.01893301243481749
8.821286916732788,8.840306043624878,19.019126892089844,805,0.040365040365040364
8.851660966873169,8.854012966156006,2.351999282836914,188,0.07622909275215407
8.869590044021606,8.89013409614563,20.544052124023438,642,0.029802246773744313
8.90312910079956,8.903330087661743,0.2009868621826172,576,2.7330960854092528
8.923825979232788,8.927170038223267,3.3440589904785156,188,0.053614715528304574
8.936371088027954,8.942047119140625,5.676031112670898,289,0.0485571470575881
8.9528489112854,8.991399049758911,38.55013847351074,1177,0.029117266885602785
