,time,src,dst,len,role
83,0.451913,192.168.65.174,183.47.97.149,95,Role.CLIENT
84,0.462231,192.168.65.174,183.47.97.149,68,Role.CLIENT
85,0.467663,183.47.97.149,192.168.65.174,311,Role.SERVER
86,0.474348,183.47.97.149,192.168.65.174,34,Role.SERVER
87,0.484849,183.47.97.149,192.168.65.174,489,Role.SERVER
88,0.485126,192.168.65.174,183.47.97.149,28,Role.CLIENT
89,0.496231,192.168.65.174,183.47.97.149,95,Role.CLIENT
90,0.500386,183.47.97.149,192.168.65.174,181,Role.SERVER
91,0.511219,192.168.65.174,183.47.97.149,25,Role.CLIENT
92,0.511297,192.168.65.174,183.47.97.149,68,Role.CLIENT
93,0.518552,183.47.97.149,192.168.65.174,31,Role.SERVER
94,0.518552,183.47.97.149,192.168.65.174,160,Role.SERVER
95,0.529264,192.168.65.174,183.47.97.149,25,Role.CLIENT
96,0.529367,192.168.65.174,183.47.97.149,68,Role.CLIENT
97,0.533371,183.47.97.149,192.168.65.174,160,Role.SERVER
98,0.535295,183.47.97.149,192.168.65.174,31,Role.SERVER
99,0.546247,192.168.65.174,183.47.97.149,25,Role.CLIENT
100,0.546355,192.168.65.174,183.47.97.149,68,Role.CLIENT
101,0.551135,183.47.97.149,192.168.65.174,457,Role.SERVER
102,0.554561,183.47.97.149,192.168.65.174,31,Role.SERVER
103,0.565241,192.168.65.174,183.47.97.149,25,Role.CLIENT
104,0.567820,183.47.97.149,192.168.65.174,160,Role.SERVER
105,0.570815,183.47.97.149,192.168.65.174,31,Role.SERVER
106,0.581251,192.168.65.174,183.47.97.149,25,Role.CLIENT
107,0.581338,192.168.65.174,183.47.97.149,95,Role.CLIENT
108,0.584956,183.47.97.149,192.168.65.174,203,Role.SERVER
109,0.595247,192.168.65.174,183.47.97.149,25,Role.CLIENT
110,0.595333,192.168.65.174,183.47.97.149,148,Role.CLIENT
111,0.601608,183.47.97.149,192.168.65.174,160,Role.SERVER
112,0.604708,183.47.97.149,192.168.65.174,31,Role.SERVER
113,0.615251,192.168.65.174,183.47.97.149,25,Role.CLIENT
114,0.615350,192.168.65.174,183.47.97.149,68,Role.CLIENT
115,0.618176,183.47.97.149,192.168.65.174,31,Role.SERVER
116,0.618209,183.47.97.149,192.168.65.174,567,Role.SERVER
117,0.629244,192.168.65.174,183.47.97.149,25,Role.CLIENT
118,0.634112,183.47.97.149,192.168.65.174,160,Role.SERVER
119,0.638708,183.47.97.149,192.168.65.174,31,Role.SERVER
120,0.649273,192.168.65.174,183.47.97.149,25,Role.CLIENT
121,0.649372,192.168.65.174,183.47.97.149,95,Role.CLIENT
122,0.652689,183.47.97.149,192.168.65.174,181,Role.SERVER
123,0.663276,192.168.65.174,183.47.97.149,25,Role.CLIENT
124,0.663356,192.168.65.174,183.47.97.149,68,Role.CLIENT
125,0.667802,183.47.97.149,192.168.65.174,160,Role.SERVER
126,0.674209,183.47.97.149,192.168.65.174,31,Role.SERVER
127,0.684902,183.47.97.149,192.168.65.174,453,Role.SERVER
128,0.685229,192.168.65.174,183.47.97.149,28,Role.CLIENT
129,0.685316,192.168.65.174,183.47.97.149,68,Role.CLIENT
130,0.687861,183.47.97.149,192.168.65.174,31,Role.SERVER
131,0.698272,192.168.65.174,183.47.97.149,68,Role.CLIENT
132,0.700668,183.47.97.149,192.168.65.174,160,Role.SERVER
133,0.709893,183.47.97.149,192.168.65.174,31,Role.SERVER
134,0.716963,183.47.97.149,192.168.65.174,160,Role.SERVER
135,0.717211,192.168.65.174,183.47.97.149,28,Role.CLIENT
136,0.717288,192.168.65.174,183.47.97.149,68,Role.CLIENT
137,0.722749,183.47.97.149,192.168.65.174,31,Role.SERVER
138,0.733311,192.168.65.174,183.47.97.149,68,Role.CLIENT
139,0.733383,183.47.97.149,192.168.65.174,160,Role.SERVER
140,0.739564,183.47.97.149,192.168.65.174,31,Role.SERVER
141,0.750316,192.168.65.174,183.47.97.149,25,Role.CLIENT
142,0.750406,192.168.65.174,183.47.97.149,68,Role.CLIENT
143,0.751785,183.47.97.149,192.168.65.174,425,Role.SERVER
144,0.758497,183.47.97.149,192.168.65.174,31,Role.SERVER
145,0.766710,183.47.97.149,192.168.65.174,181,Role.SERVER
146,0.767016,192.168.65.174,183.47.97.149,28,Role.CLIENT
147,0.772805,183.47.97.149,192.168.65.174,31,Role.SERVER
148,0.783304,192.168.65.174,183.47.97.149,95,Role.CLIENT
149,0.784499,183.47.97.149,192.168.65.174,263,Role.SERVER
150,0.795277,192.168.65.174,183.47.97.149,25,Role.CLIENT
151,0.795338,192.168.65.174,183.47.97.149,68,Role.CLIENT
152,0.799599,183.47.97.149,192.168.65.174,181,Role.SERVER
153,0.805848,183.47.97.149,192.168.65.174,31,Role.SERVER
154,0.816322,192.168.65.174,183.47.97.149,25,Role.CLIENT
155,0.816417,192.168.65.174,183.47.97.149,68,Role.CLIENT
156,0.818496,183.47.97.149,192.168.65.174,31,Role.SERVER
157,0.818527,183.47.97.149,192.168.65.174,432,Role.SERVER
158,0.829311,192.168.65.174,183.47.97.149,25,Role.CLIENT
159,0.829383,192.168.65.174,183.47.97.149,68,Role.CLIENT
160,0.833383,183.47.97.149,192.168.65.174,160,Role.SERVER
161,0.839625,183.47.97.149,192.168.65.174,31,Role.SERVER
162,0.849948,183.47.97.149,192.168.65.174,181,Role.SERVER
163,0.850204,192.168.65.174,183.47.97.149,28,Role.CLIENT
164,0.850288,192.168.65.174,183.47.97.149,68,Role.CLIENT
165,0.853002,183.47.97.149,192.168.65.174,31,Role.SERVER
166,0.863336,192.168.65.174,183.47.97.149,68,Role.CLIENT
167,0.868709,183.47.97.149,192.168.65.174,181,Role.SERVER
168,0.875583,183.47.97.149,192.168.65.174,31,Role.SERVER
169,0.884867,183.47.97.149,192.168.65.174,457,Role.SERVER
170,0.885159,192.168.65.174,183.47.97.149,28,Role.CLIENT
171,0.885260,192.168.65.174,183.47.97.149,68,Role.CLIENT
172,0.888554,183.47.97.149,192.168.65.174,31,Role.SERVER
173,0.899328,192.168.65.174,183.47.97.149,68,Role.CLIENT
174,0.900763,183.47.97.149,192.168.65.174,181,Role.SERVER
175,0.909330,183.47.97.149,192.168.65.174,31,Role.SERVER
176,0.918023,183.47.97.149,192.168.65.174,160,Role.SERVER
177,0.918273,192.168.65.174,183.47.97.149,28,Role.CLIENT
178,0.918377,192.168.65.174,183.47.97.149,68,Role.CLIENT
179,0.924236,183.47.97.149,192.168.65.174,31,Role.SERVER
180,0.933645,183.47.97.149,192.168.65.174,181,Role.SERVER
181,0.933911,192.168.65.174,183.47.97.149,68,Role.CLIENT
182,0.941518,183.47.97.149,192.168.65.174,31,Role.SERVER
183,0.952326,192.168.65.174,183.47.97.149,25,Role.CLIENT
184,0.952336,183.47.97.149,192.168.65.174,457,Role.SERVER
185,0.952413,192.168.65.174,183.47.97.149,68,Role.CLIENT
186,0.958384,183.47.97.149,192.168.65.174,31,Role.SERVER
187,0.968683,183.47.97.149,192.168.65.174,160,Role.SERVER
188,0.968892,192.168.65.174,183.47.97.149,28,Role.CLIENT
189,0.968953,192.168.65.174,183.47.97.149,68,Role.CLIENT
190,0.974607,183.47.97.149,192.168.65.174,31,Role.SERVER
191,0.984302,183.47.97.149,192.168.65.174,160,Role.SERVER
192,0.984567,192.168.65.174,183.47.97.149,68,Role.CLIENT
193,0.993772,183.47.97.149,192.168.65.174,31,Role.SERVER
194,0.999840,183.47.97.149,192.168.65.174,160,Role.SERVER
195,1.000132,192.168.65.174,183.47.97.149,28,Role.CLIENT
196,1.000193,192.168.65.174,183.47.97.149,68,Role.CLIENT
197,1.009461,183.47.97.149,192.168.65.174,31,Role.SERVER
198,1.018573,183.47.97.149,192.168.65.174,457,Role.SERVER
199,1.018830,192.168.65.174,183.47.97.149,68,Role.CLIENT
200,1.024594,183.47.97.149,192.168.65.174,31,Role.SERVER
201,1.034461,183.47.97.149,192.168.65.174,160,Role.SERVER
202,1.034682,192.168.65.174,183.47.97.149,28,Role.CLIENT
203,1.034747,192.168.65.174,183.47.97.149,68,Role.CLIENT
204,1.043564,183.47.97.149,192.168.65.174,31,Role.SERVER
205,1.050028,183.47.97.149,192.168.65.174,160,Role.SERVER
206,1.050296,192.168.65.174,183.47.97.149,68,Role.CLIENT
207,1.059038,183.47.97.149,192.168.65.174,31,Role.SERVER
208,1.068451,183.47.97.149,192.168.65.174,160,Role.SERVER
209,1.068650,192.168.65.174,183.47.97.149,28,Role.CLIENT
210,1.068713,192.168.65.174,183.47.97.149,68,Role.CLIENT
211,1.074733,183.47.97.149,192.168.65.174,31,Role.SERVER
212,1.084121,183.47.97.149,192.168.65.174,415,Role.SERVER
213,1.084496,192.168.65.174,183.47.97.149,68,Role.CLIENT
214,1.091405,183.47.97.149,192.168.65.174,31,Role.SERVER
215,1.099836,183.47.97.149,192.168.65.174,160,Role.SERVER
216,1.100076,192.168.65.174,183.47.97.149,28,Role.CLIENT
217,1.100151,192.168.65.174,183.47.97.149,68,Role.CLIENT
218,1.109336,183.47.97.149,192.168.65.174,31,Role.SERVER
219,1.118678,183.47.97.149,192.168.65.174,206,Role.SERVER
220,1.118935,192.168.65.174,183.47.97.149,141,Role.CLIENT
221,1.123344,183.47.97.149,192.168.65.174,31,Role.SERVER
222,1.134276,183.47.97.149,192.168.65.174,263,Role.SERVER
223,1.134409,192.168.65.174,183.47.97.149,25,Role.CLIENT
224,1.134508,192.168.65.174,183.47.97.149,68,Role.CLIENT
225,1.144100,183.47.97.149,192.168.65.174,31,Role.SERVER
226,1.150139,183.47.97.149,192.168.65.174,436,Role.SERVER
227,1.150353,192.168.65.174,183.47.97.149,28,Role.CLIENT
228,1.150418,192.168.65.174,183.47.97.149,68,Role.CLIENT
229,1.159054,183.47.97.149,192.168.65.174,31,Role.SERVER
230,1.168378,183.47.97.149,192.168.65.174,160,Role.SERVER
231,1.168607,192.168.65.174,183.47.97.149,68,Role.CLIENT
232,1.174266,183.47.97.149,192.168.65.174,31,Role.SERVER
233,1.184417,183.47.97.149,192.168.65.174,181,Role.SERVER
234,1.184681,192.168.65.174,183.47.97.149,28,Role.CLIENT
235,1.191757,183.47.97.149,192.168.65.174,31,Role.SERVER
236,1.200053,183.47.97.149,192.168.65.174,160,Role.SERVER
237,1.200302,192.168.65.174,183.47.97.149,95,Role.CLIENT
238,1.211401,192.168.65.174,183.47.97.149,25,Role.CLIENT
239,1.218560,183.47.97.149,192.168.65.174,372,Role.SERVER
240,1.218787,192.168.65.174,183.47.97.149,68,Role.CLIENT
241,1.223627,183.47.97.149,192.168.65.174,31,Role.SERVER
242,1.234052,183.47.97.149,192.168.65.174,160,Role.SERVER
243,1.234329,192.168.65.174,183.47.97.149,28,Role.CLIENT
244,1.234408,192.168.65.174,183.47.97.149,68,Role.CLIENT
245,1.243347,183.47.97.149,192.168.65.174,31,Role.SERVER
246,1.249767,183.47.97.149,192.168.65.174,181,Role.SERVER
247,1.250002,192.168.65.174,183.47.97.149,68,Role.CLIENT
248,1.258948,183.47.97.149,192.168.65.174,31,Role.SERVER
249,1.268838,183.47.97.149,192.168.65.174,160,Role.SERVER
250,1.269047,192.168.65.174,183.47.97.149,28,Role.CLIENT
251,1.269110,192.168.65.174,183.47.97.149,68,Role.CLIENT
252,1.274309,183.47.97.149,192.168.65.174,31,Role.SERVER
253,1.284559,183.47.97.149,192.168.65.174,521,Role.SERVER
254,1.293151,183.47.97.149,192.168.65.174,31,Role.SERVER
255,1.301527,183.47.97.149,192.168.65.174,160,Role.SERVER
256,1.301757,192.168.65.174,183.47.97.149,28,Role.CLIENT
257,1.301822,192.168.65.174,183.47.97.149,95,Role.CLIENT
258,1.312442,192.168.65.174,183.47.97.149,68,Role.CLIENT
259,1.318506,183.47.97.149,192.168.65.174,160,Role.SERVER
260,1.324726,183.47.97.149,192.168.65.174,34,Role.SERVER
261,1.333870,183.47.97.149,192.168.65.174,160,Role.SERVER
262,1.334124,192.168.65.174,183.47.97.149,28,Role.CLIENT
263,1.334195,192.168.65.174,183.47.97.149,68,Role.CLIENT
264,1.349805,183.47.97.149,192.168.65.174,160,Role.SERVER
265,1.350057,192.168.65.174,183.47.97.149,68,Role.CLIENT
266,1.352727,183.47.97.149,192.168.65.174,298,Role.SERVER
267,1.358942,183.47.97.149,192.168.65.174,31,Role.SERVER
268,1.367084,183.47.97.149,192.168.65.174,160,Role.SERVER
269,1.367351,192.168.65.174,183.47.97.149,28,Role.CLIENT
270,1.367437,192.168.65.174,183.47.97.149,68,Role.CLIENT
271,1.373161,183.47.97.149,192.168.65.174,31,Role.SERVER
272,1.384457,192.168.65.174,183.47.97.149,68,Role.CLIENT
273,1.385544,183.47.97.149,192.168.65.174,160,Role.SERVER
274,1.391620,183.47.97.149,192.168.65.174,31,Role.SERVER
275,1.400887,183.47.97.149,192.168.65.174,322,Role.SERVER
276,1.401138,192.168.65.174,183.47.97.149,28,Role.CLIENT
277,1.401213,192.168.65.174,183.47.97.149,68,Role.CLIENT
278,1.407546,183.47.97.149,192.168.65.174,31,Role.SERVER
279,1.416669,183.47.97.149,192.168.65.174,372,Role.SERVER
280,1.427245,183.47.97.149,192.168.65.174,31,Role.SERVER
281,1.427423,192.168.65.174,183.47.97.149,25,Role.CLIENT
282,1.434673,183.47.97.149,192.168.65.174,160,Role.SERVER
283,1.434938,192.168.65.174,183.47.97.149,95,Role.CLIENT
284,1.445428,192.168.65.174,183.47.97.149,25,Role.CLIENT
285,1.449829,183.47.97.149,192.168.65.174,160,Role.SERVER
286,1.457696,183.47.97.149,192.168.65.174,31,Role.SERVER
287,1.466555,183.47.97.149,192.168.65.174,224,Role.SERVER
288,1.466799,192.168.65.174,183.47.97.149,28,Role.CLIENT
289,1.466872,192.168.65.174,183.47.97.149,95,Role.CLIENT
290,1.485709,183.47.97.149,192.168.65.174,436,Role.SERVER
291,1.486161,192.168.65.174,183.47.97.149,68,Role.CLIENT
292,1.492258,183.47.97.149,192.168.65.174,31,Role.SERVER
293,1.500450,183.47.97.149,192.168.65.174,160,Role.SERVER
294,1.500711,192.168.65.174,183.47.97.149,28,Role.CLIENT
295,1.509054,183.47.97.149,192.168.65.174,31,Role.SERVER
296,1.518607,183.47.97.149,192.168.65.174,160,Role.SERVER
297,1.518879,192.168.65.174,183.47.97.149,95,Role.CLIENT
298,1.530005,192.168.65.174,183.47.97.149,25,Role.CLIENT
299,1.530086,192.168.65.174,183.47.97.149,68,Role.CLIENT
300,1.534153,183.47.97.149,192.168.65.174,160,Role.SERVER
301,1.541513,183.47.97.149,192.168.65.174,31,Role.SERVER
302,1.551045,183.47.97.149,192.168.65.174,436,Role.SERVER
303,1.551423,192.168.65.174,183.47.97.149,28,Role.CLIENT
304,1.551535,192.168.65.174,183.47.97.149,68,Role.CLIENT
305,1.553946,183.47.97.149,192.168.65.174,31,Role.SERVER
306,1.565199,192.168.65.174,183.47.97.149,68,Role.CLIENT
307,1.571473,183.47.97.149,192.168.65.174,160,Role.SERVER
308,1.574690,183.47.97.149,192.168.65.174,31,Role.SERVER
309,1.584952,183.47.97.149,192.168.65.174,264,Role.SERVER
310,1.585009,192.168.65.174,183.47.97.149,25,Role.CLIENT
311,1.591901,183.47.97.149,192.168.65.174,31,Role.SERVER
312,1.600270,183.47.97.149,192.168.65.174,160,Role.SERVER
313,1.600543,192.168.65.174,183.47.97.149,28,Role.CLIENT
314,1.600616,192.168.65.174,183.47.97.149,175,Role.CLIENT
315,1.620010,183.47.97.149,192.168.65.174,418,Role.SERVER
316,1.624958,183.47.97.149,192.168.65.174,31,Role.SERVER
317,1.635691,183.47.97.149,192.168.65.174,160,Role.SERVER
318,1.635905,192.168.65.174,183.47.97.149,28,Role.CLIENT
319,1.635983,192.168.65.174,183.47.97.149,95,Role.CLIENT
320,1.647046,192.168.65.174,183.47.97.149,68,Role.CLIENT
321,1.651414,183.47.97.149,192.168.65.174,160,Role.SERVER
322,1.659223,183.47.97.149,192.168.65.174,34,Role.SERVER
323,1.668780,183.47.97.149,192.168.65.174,160,Role.SERVER
324,1.669048,192.168.65.174,183.47.97.149,28,Role.CLIENT
325,1.669140,192.168.65.174,183.47.97.149,68,Role.CLIENT
326,1.683918,183.47.97.149,192.168.65.174,432,Role.SERVER
327,1.693253,183.47.97.149,192.168.65.174,31,Role.SERVER
328,1.701763,183.47.97.149,192.168.65.174,171,Role.SERVER
329,1.702000,192.168.65.174,183.47.97.149,28,Role.CLIENT
