,time,src,dst,len,role
1392,6.633523,192.168.65.174,183.47.97.149,28,Role.CLIENT
1393,6.633601,192.168.65.174,183.47.97.149,88,Role.CLIENT
1394,6.641094,183.47.97.149,192.168.65.174,31,Role.SERVER
1395,6.650245,183.47.97.149,192.168.65.174,468,Role.SERVER
1396,6.650503,192.168.65.174,183.47.97.149,88,Role.CLIENT
1397,6.658580,183.47.97.149,192.168.65.174,31,Role.SERVER
1398,6.666715,183.47.97.149,192.168.65.174,160,Role.SERVER
1399,6.667161,192.168.65.174,183.47.97.149,28,Role.CLIENT
1400,6.667272,192.168.65.174,183.47.97.149,55,Role.CLIENT
1401,6.675066,183.47.97.149,192.168.65.174,31,Role.SERVER
1402,6.684403,183.47.97.149,192.168.65.174,160,Role.SERVER
1403,6.684637,192.168.65.174,183.47.97.149,222,Role.CLIENT
1404,6.691676,183.47.97.149,192.168.65.174,31,Role.SERVER
1405,6.699990,183.47.97.149,192.168.65.174,160,Role.SERVER
1406,6.700276,192.168.65.174,183.47.97.149,28,Role.CLIENT
1407,6.700375,192.168.65.174,183.47.97.149,88,Role.CLIENT
1408,6.707302,183.47.97.149,192.168.65.174,31,Role.SERVER
1409,6.716834,183.47.97.149,192.168.65.174,351,Role.SERVER
1410,6.717087,192.168.65.174,183.47.97.149,88,Role.CLIENT
1411,6.724800,183.47.97.149,192.168.65.174,31,Role.SERVER
1412,6.734141,183.47.97.149,192.168.65.174,160,Role.SERVER
1413,6.734376,192.168.65.174,183.47.97.149,28,Role.CLIENT
1414,6.734453,192.168.65.174,183.47.97.149,142,Role.CLIENT
1415,6.742101,183.47.97.149,192.168.65.174,31,Role.SERVER
1416,6.750268,183.47.97.149,192.168.65.174,242,Role.SERVER
1417,6.750532,192.168.65.174,183.47.97.149,55,Role.CLIENT
1418,6.758276,183.47.97.149,192.168.65.174,31,Role.SERVER
1419,6.766628,183.47.97.149,192.168.65.174,245,Role.SERVER
1420,6.766894,192.168.65.174,183.47.97.149,28,Role.CLIENT
1421,6.766966,192.168.65.174,183.47.97.149,201,Role.CLIENT
1422,6.776307,183.47.97.149,192.168.65.174,31,Role.SERVER
1423,6.784284,183.47.97.149,192.168.65.174,434,Role.SERVER
1424,6.789434,183.47.97.149,192.168.65.174,31,Role.SERVER
1425,6.800152,192.168.65.174,183.47.97.149,25,Role.CLIENT
1426,6.800230,192.168.65.174,183.47.97.149,94,Role.CLIENT
1427,6.802859,183.47.97.149,192.168.65.174,160,Role.SERVER
1428,6.813161,192.168.65.174,183.47.97.149,25,Role.CLIENT
1429,6.813265,192.168.65.174,183.47.97.149,67,Role.CLIENT
1430,6.817336,183.47.97.149,192.168.65.174,245,Role.SERVER
1431,6.824120,183.47.97.149,192.168.65.174,31,Role.SERVER
1432,6.835160,192.168.65.174,183.47.97.149,25,Role.CLIENT
1433,6.835241,192.168.65.174,183.47.97.149,129,Role.CLIENT
1434,6.835527,183.47.97.149,192.168.65.174,181,Role.SERVER
1435,6.837410,183.47.97.149,192.168.65.174,31,Role.SERVER
1436,6.848144,192.168.65.174,183.47.97.149,25,Role.CLIENT
1437,6.848210,192.168.65.174,183.47.97.149,115,Role.CLIENT
1438,6.850920,183.47.97.149,192.168.65.174,442,Role.SERVER
1439,6.858772,183.47.97.149,192.168.65.174,31,Role.SERVER
1440,6.866670,183.47.97.149,192.168.65.174,173,Role.SERVER
1441,6.867209,192.168.65.174,183.47.97.149,28,Role.CLIENT
1442,6.867386,192.168.65.174,183.47.97.149,67,Role.CLIENT
1443,6.872130,183.47.97.149,192.168.65.174,31,Role.SERVER
1444,6.883199,192.168.65.174,183.47.97.149,67,Role.CLIENT
1445,6.883304,183.47.97.149,192.168.65.174,181,Role.SERVER
1446,6.889991,183.47.97.149,192.168.65.174,31,Role.SERVER
1447,6.901212,192.168.65.174,183.47.97.149,25,Role.CLIENT
1448,6.901321,192.168.65.174,183.47.97.149,195,Role.CLIENT
1449,6.901605,183.47.97.149,192.168.65.174,245,Role.SERVER
1450,6.906164,183.47.97.149,192.168.65.174,31,Role.SERVER
1451,6.917174,192.168.65.174,183.47.97.149,25,Role.CLIENT
1452,6.917246,183.47.97.149,192.168.65.174,415,Role.SERVER
1453,6.926031,183.47.97.149,192.168.65.174,31,Role.SERVER
1454,6.935099,183.47.97.149,192.168.65.174,160,Role.SERVER
1455,6.935326,192.168.65.174,183.47.97.149,28,Role.CLIENT
1456,6.935398,192.168.65.174,183.47.97.149,116,Role.CLIENT
1457,6.950880,183.47.97.149,192.168.65.174,348,Role.SERVER
1458,6.951254,192.168.65.174,183.47.97.149,68,Role.CLIENT
1459,6.960286,183.47.97.149,192.168.65.174,31,Role.SERVER
1460,6.966751,183.47.97.149,192.168.65.174,160,Role.SERVER
1461,6.967092,192.168.65.174,183.47.97.149,28,Role.CLIENT
1462,6.967174,192.168.65.174,183.47.97.149,55,Role.CLIENT
1463,6.975343,183.47.97.149,192.168.65.174,31,Role.SERVER
1464,6.985313,183.47.97.149,192.168.65.174,423,Role.SERVER
1465,6.985573,192.168.65.174,183.47.97.149,202,Role.CLIENT
1466,6.991234,183.47.97.149,192.168.65.174,31,Role.SERVER
1467,7.000972,183.47.97.149,192.168.65.174,202,Role.SERVER
1468,7.001229,192.168.65.174,183.47.97.149,28,Role.CLIENT
1469,7.001309,192.168.65.174,183.47.97.149,68,Role.CLIENT
1470,7.007977,183.47.97.149,192.168.65.174,31,Role.SERVER
1471,7.016772,183.47.97.149,192.168.65.174,182,Role.SERVER
1472,7.017140,192.168.65.174,183.47.97.149,114,Role.CLIENT
1473,7.024056,183.47.97.149,192.168.65.174,31,Role.SERVER
1474,7.034028,183.47.97.149,192.168.65.174,257,Role.SERVER
1475,7.034268,192.168.65.174,183.47.97.149,28,Role.CLIENT
1476,7.034336,192.168.65.174,183.47.97.149,189,Role.CLIENT
1477,7.042210,183.47.97.149,192.168.65.174,31,Role.SERVER
1478,7.051202,183.47.97.149,192.168.65.174,512,Role.SERVER
1479,7.056808,183.47.97.149,192.168.65.174,31,Role.SERVER
1480,7.067601,183.47.97.149,192.168.65.174,160,Role.SERVER
1481,7.067630,192.168.65.174,183.47.97.149,25,Role.CLIENT
1482,7.067790,192.168.65.174,183.47.97.149,175,Role.CLIENT
1483,7.078563,192.168.65.174,183.47.97.149,25,Role.CLIENT
1484,7.083256,183.47.97.149,192.168.65.174,284,Role.SERVER
