,time,src,dst,seq,ack,len,payload,role
48,1.143682,123.57.84.206,192.168.65.66,3219,68,211,"b'\\\xf2\x7f1\xe1\xdfRu-\xf36\x9e\x18\xac\xda\x02/\x1c!1\xcb\xdd#\xc5\xf2\xcf\x8e\xe8E\xdb{\x7f\x1d\x1e-O\xf5\x85\xc2\xb1>@T\xdb\xe6\x1f""\xb2\xa3+\xca@\x8a\x89\x1f\xb9\xdca\xbekR:\x9d\xd5\xeb\xacSY\x1f`\xd2\xfbc+\x9ep\x01*\xf94\xbd\x14\xb9\xc6\xb7fH\xf3O\x01\xd0(\xea\xefKEu\xc5\xd7\x86\xb4\x88z\n\xe1\xadu\xf5\x81j|\t\x8c\x8b\xa9\xd2}\xb8\x15\x10\xee\x1d\xa2\x07\xb7\x8c\x1d\x0e\x1a!\xe1\xec\xd6\xaa\x93\x16I\xfa\xdf>\xf0\xf0\x8b\xb9\xb1`\xb1\xcc\x8e8\xca{\x7f\x88=\xe7\x9c\x9c\xa4\xdd\x95N\xdd3\x0bR\xad\x03\xc6\xa6M""?\xbc\xdcyf\xe10\xb4\xba\xb4~`?\xbaOl\xf9\xab2VI\xd7\x18\xd4\xd5\xdb\xa79\xee\xb0\x05[\xff\xf0(\xaa1\xa6l'",0
49,1.143752,192.168.65.66,123.57.84.206,68,3430,0,,1
50,1.193208,123.57.84.206,192.168.65.66,3430,68,132,b't(I\xd4\xe7\x8cI\xc6\xf1\xb3\xd3\x11\xf9&\x9b\x9f8\x86\xf0w\xc0\x93\xc3`_u\x94\xa7\x06<\xa4\xc25\xed\xab\t\xd7\x8fa\x1d\xdd\xa2\xac\xac\xe5\x1b8t\xe8%i2\xceu\xd1\x97\xa4t\n&\xed{\x1a\xd9\xee\x89\x1cV\xa1H\x1f\n\x05u~\xe5\xff&Y\xa6\xa9\xd0L\xcdz\xb6\xbd\x0c\xba\x1d[\xb5p)\x02C\xcf:\n\xc7\x1b\xa5\x931\xc8\x11%\xa9\xbc?\xab\xa0~f\x87\xe8\xa5\x8dz\xf7\xcf\x87\x8eh|\\\xfbgf.\xb3-',0
51,1.207701,192.168.65.66,123.57.84.206,68,3562,28,b'\xd8\x8c\xe0\xd88_\x91\x82$\x14]\x9c\x84\xc5\x890?\xf2\xa6\xcb\xfb\x0e\x06\xefOT\xd2\x95',1
52,1.242726,123.57.84.206,192.168.65.66,3562,68,11,b'\x19\x83\xcd\x9c?\xf6g\xda\xf8s\xb3',0
53,1.251526,123.57.84.206,192.168.65.66,3573,96,0,,0
54,1.256312,192.168.65.66,123.57.84.206,96,3573,36,b'\xe3-O;\x8dHR\n\xd3\x12d0@Y\x9b(]\xb5\xca\xa1\x9b\xfd\xf6\xbd\nR\x15\xa2 \x98\x89.\xc8j8S',1
55,1.292742,123.57.84.206,192.168.65.66,3573,96,167,"b'\xcc\xa47\xdd\x9db\x8c~?\x8c\xa2\xf4:\x90\xd0\x0f\xa1\xb8\x13J\x16\x901\x8c\x10\xf8{]e\xa8B\x83zZr\x88\xa9\x0e\x1f\x8f\x7fGt\x99\xb8\x83\x1f<\x15\x93G\xfe\xe2\xd6n\xf2\xb6\xf2\n$\xd5\xb8\xe9\x81\x8a\xae]\xbbV\x8e\x96o\xb6\xe9(F2\x92}Y\xc9~G>t\xed|i\xe8\x7f\xed\x0b\xad\xde\xeb\xc2\x80\x0c\xfclC?N\x89q\x97[\xa7\x08\x0c\xc6\x8d\x0e\x1f\x93\xc09K\x0e!\xdbv{\x0b\xfa\x91F\xa7g\xbb3U\xb4:\xbbV\x0f\x0c#J\xb7\x96\x92\xa7\xe8\x12\xec\xc0\xe0\xfc\x84\xb5\xa4\xa8F\xca\x8eRl""\xe9\xf6D\xf5m\xe5\xe4'",0
56,1.304682,192.168.65.66,123.57.84.206,132,3740,36,b'\xa9Z\xe7\x1e\xab\x12\x18\x16\x1a\xcf\xaf\x1fDE\x0eDW\x03~\xf0\x0e\xbfz\xd4\x18c$\x91\xc9\x84\x1d\xe9\xa8)e\xd6',1
57,1.30493,123.57.84.206,192.168.65.66,3740,132,0,,0
