,time,src,dst,seq,ack,len,payload,role
10,0.257869,123.57.84.206,192.168.65.66,404,1,67,"b'\xeb(\x01\xe9\x95\xe8\x94\xab\xb6\xcb\xca\xca\x04\x8f\xce\xc7\x13\xaf\x96\xd7e}\xdf\n=\x94\x9c`\xce\xabh.\x9d\x19\x0e\xa2s\xa5\xf8\x9f\xc2\x00\xa3FW\x88V\xed!x\xceP\r9\x1c\x88\x1e\xf1\x17\x1b\x0e,x\xc2\xdaDT'",0
11,0.257869,123.57.84.206,192.168.65.66,471,1,44,b'\xaf\xb7T\x05\xf8\xeb\x8d\xf8V\xd0\xe0\x82\x0f?\xa58c\xed\x90\xa1\x81\xc4H\xfa\xb6\xee\x16\xf8c\xd2\x92\x80\r\x19\xa0}\xbas\x17{\xef\xec\xe5\xdb',0
12,0.257869,123.57.84.206,192.168.65.66,515,1,6,b'\xddh\xcbUQ\xe2',0
13,0.257869,123.57.84.206,192.168.65.66,521,1,21,b'I(\nY\x8fwi\xe7\xe8\xfa\x9e\x13\x9fz\xc1\x8a\xea\xda\xfey8',0
14,0.257953,192.168.65.66,123.57.84.206,1,542,0,,1
15,0.259229,123.57.84.206,192.168.65.66,542,1,88,"b'\xa0^om\x06~.\xe7\xf9cZ*\xb0TN\x81N\xe0\xab\xfbZ)=\xea\x96\xb6\x94\xe2\x0f\xdba\xea\xc0\xd8\xa8+_,\x86\x94\xa2Zx\x88\xd4r,\xd3&\x9b\xbc\xad\xfb\xf7\xbbjyD!S\x00\x16\xeb\xf8\xb3\x89\xb7^\x108_\xd9\x98j\x04\xe4\x82\xa9\xe9\x9c.\x02Z-\xc7\xeb\xccv'",0
16,0.261178,123.57.84.206,192.168.65.66,630,1,20,b'/\x80x\x9dh2\xb9\x95\xb1\x90U\x1f\x7f\xf0j\xf2\x88\xde\x95\xc8',0
17,0.261218,192.168.65.66,123.57.84.206,1,650,0,,1
18,0.307922,123.57.84.206,192.168.65.66,650,1,89,b'E\xddXZ\xe1\xcf\x07\x91Gc\x06\x9f\x83^\x18\x98z\xc5`:mP}z\xb2\x10\x93\xc58\x15\xcfs}\x8em\xed<\x11\xa5\x12\nOF\xa3\xae\x04\xe8\x91h\x80\x89Z\xa6R-\xfc\x1fs\xb6\x81\xd6\x93\xf65\xbd\xbfCV_I\xd9\x7f\x1c\xc8\xf8\xcd\xa4=K\x0b\x07\x95\xb7\xd97\x84W\x919',0
19,0.35605,192.168.65.66,123.57.84.206,1,739,0,,1
20,0.358192,123.57.84.206,192.168.65.66,739,1,38,b'\x89q\xbf\xe0\xdcH\xec\xd4\xa3\xb4\x1dr\xef/6\x05\xe8cG\xce\xee\xf5\xdf%`\xd6\xe1=(5Ar\xd7\x9b\x80\xe3 \x10',0
21,0.402466,192.168.65.66,123.57.84.206,1,777,0,,1
22,0.408194,123.57.84.206,192.168.65.66,777,1,117,"b'""\xf2\xf8a\x0e\r\x10\x1a\xaf\x17a\xacf\x83\x08\xb32\xd3,\x92%\x1a\xc8\xdd\xc8\x18\xb6\x13\x90\x03\xda\xd5\xb1\xb3a\xd2\xe5a\xa0&\xac\xfb\x9c\xd0:d\xd7\xea SE\x98\x81\xa2N\x8a\xe01;(\r\xc6\x8a\x7f?\xf7\xbf\x84QL\x9a\xb0\x03O\' \x95\x85\x03D\xb3\x9c\xe0\x97r[\x92\x91\xe8\\\x14\x86\xd1\x99TpZV_\x80k\x92#\xe7\x82\x1e*f\xc3\xb9\xa9D\xe2@\x04\x04\xc9'",0
23,0.448145,192.168.65.66,123.57.84.206,1,894,0,,1
24,0.458081,123.57.84.206,192.168.65.66,894,1,77,"b'G\xc0O\x86\x93\xdb\xdb|\xb1\xb0\xc4f;H\xfa6\xc6\xe7\xfc\x0eg\x1dZS\xe0Z\xe8_,P\xaa\xf67\x8c28B\xedk{17\x17\xd4\xb8\xc7\x16\x8b \xe5\xfa\xcf_R\x81\xccH\xf0U\x1d\x8c\xb3\x8f\x7f\r\x82l\x88\xe8\xa3\x8ean\xdd\xad\xf6\xec'",0
25,0.507867,123.57.84.206,192.168.65.66,971,1,44,b'\x977vQ\xb7\x10}\x17\x88\xecd\xe1\xda\\D\x1c\xac\xf5~\xc4\xc1U$\xee\ny\xc0s\x8al\x17>D*\\\x9c\x13\\\xd3f\xc5!\xd5\xd8',0
26,0.507941,192.168.65.66,123.57.84.206,1,1015,0,,1
27,0.55674,123.57.84.206,192.168.65.66,1015,1,19,b'\xbd\x0eF\xa4\xbb\xad\x93q\xa7\x8b\xf1U2\x98\xa5<\x19C\x16',0
28,0.55674,123.57.84.206,192.168.65.66,1034,1,26,b'\xa6+gbBv\x88\xd4\xa0\xeb\x0b\xc0\x13\xc2\n\xc1\xdb\xb3\xd0\xc9\xcfW\x11\xc82\xc6',0
29,0.556802,192.168.65.66,123.57.84.206,1,1060,0,,1
30,0.608075,123.57.84.206,192.168.65.66,1060,1,77,"b'\x84A\xf6\xa1J\xf9\xd6L\xb0\xecNMb\xa3)<x\x8a\xc3\xfav\xaf\x9bZ$\xd3\xb3W\x81y\xaa\x0f*\x18o\xf3s\xe1\xe2\xce\xbb\x13\xab\xf2\x1eN\xe0\xecI\x14\xd5\xa3\xf0_\xcb\xe8y\xad\xf1\xe5dA\xf99\xba\xfb\x1a9\xa3NI\x075,S\x8a\xc7'",0
31,0.648853,192.168.65.66,123.57.84.206,1,1137,0,,1
32,0.657855,123.57.84.206,192.168.65.66,1137,1,58,b'\x1e}\x1f\xe6\xe9[\x1d\x1e\x8b`U\xb3\xf8/v\x95\xd0r\x05(-\x83=\x850\xf5Z4k\xd9\xcc\xdej\xa4\xcc\xca\x8b\x9e\xca\x0e8\x8cE\x9a\xa8\x10tT\x99\xcf\xcc\xa9\xbc\x91;\x18\xab\x1e',0
33,0.707801,123.57.84.206,192.168.65.66,1195,1,38,b'\x8c\xbcyu\xdd[\xfd\x94\x19\xb2 w\x9e\xb71\x87\xb4_7R\xf3\xe1\x87e\x82lU\x87\xd2gz\x19X\x13\x9aE\x86\xf6',0
34,0.707867,192.168.65.66,123.57.84.206,1,1233,0,,1
35,0.738719,192.168.65.66,123.57.84.206,1,1233,12,"b""\xea\xd3ip{]'\xd1!\xa1\xe8\xaa""",1
36,0.757918,123.57.84.206,192.168.65.66,1233,1,81,"b'\x86\rF>\xa7ruG\xa9\x9a\x1b\xdcM\x1e\x9f\xde\xcc\x82\xfc1a\xb0B\x9f\\%B\'\xd7I\xc2\xe8\x97\xa6\xfc\xb6\xf4!\xaf\xf6\xb5\x1e\tR\xab\xce""\xdam\xea\xe9\xf4\xb0\'\x82Ed-6\xd9dR\xdd\xe8\xa7c\xa9\x1c\'8.\x1fy\xca,\xa1\xc7\xad}\x9a\xce'",0
37,0.787057,192.168.65.66,123.57.84.206,13,1314,12,b'Z\x17\xd6\xb1=q\x97\xc9\x17\xa9\xef\xdc',1
38,0.808186,123.57.84.206,192.168.65.66,1314,13,52,"b'3f\x9c\x7fumh\xb2\xde\x80M\x8c\xd4,\x01\x99u\xb7\xb1}\xfd:\xc8\xeb\xb6qX!\xbe\x8e\x0f\xe7\xfe\xaf\xf0<\x11\xe3\x03\xd0q\xe7m\xdf\t]\xa0\x9e\xba\xdd\xc7\xf8'",0
39,0.841986,192.168.65.66,123.57.84.206,25,1366,36,b'\x8f\x1a9D{\x17\x1c\xb1$\x97\xdf=\xb4\xce\x92\xb1\x01\x1fE \x9dCY\xe8\x91M;\xec\xe7N]Ab\x0ea\xd8',1
40,0.858253,123.57.84.206,192.168.65.66,1366,25,45,b'K(\xbd\x94]Vn[Vy\xa4{9sR\xdb\x9c\x84]\xd2jPmPd\x85\x14\x14-L\xd5\xcb\x82E\xd4l\t\x89\xfai\x85\xd5\xf5\xbbW',0
